,Components,10 Features,20 Features,50 Features,100 Features,150 Features,200 Features,250 Features,All Features
0,AAC Technologies Holdings Inc. (2018.HK).csv,60.64516129032258,63.87096774193548,60.967741935483865,60.322580645161295,59.354838709677416,58.387096774193544,59.67741935483871,59.67741935483871
1,AIA Group Limited (1299.HK).csv,63.54838709677419,62.903225806451616,67.41935483870968,59.67741935483871,62.58064516129033,63.87096774193548,62.903225806451616,62.58064516129033
2,BOC Hong Kong (Holdings) Limited (2388.HK).csv,69.6774193548387,68.38709677419355,67.0967741935484,66.77419354838709,69.35483870967742,66.77419354838709,68.70967741935485,68.70967741935485
3,China Life Insurance Company Limited (2628.HK).csv,66.45161290322581,65.48387096774194,64.83870967741936,62.58064516129033,65.16129032258064,65.16129032258064,64.19354838709678,63.87096774193548
4,China Mengniu Dairy Company Limited (2319.HK).csv,58.387096774193544,60.0,59.354838709677416,61.29032258064516,59.354838709677416,60.322580645161295,60.64516129032258,60.0
5,China Mobile Limited (0941.HK).csv,72.25806451612902,71.61290322580646,72.25806451612902,70.0,69.6774193548387,70.3225806451613,69.03225806451613,68.70967741935485
6,China Petroleum & Chemical Corporation(0386.HK).csv,70.64516129032258,70.96774193548387,71.61290322580646,70.0,70.64516129032258,70.64516129032258,71.29032258064515,71.29032258064515
7,China Resources Land Limited (1109.HK).csv,66.45161290322581,66.77419354838709,62.25806451612903,62.903225806451616,63.2258064516129,64.83870967741936,61.935483870967744,62.25806451612903
8,China Resources Power Holdings Company Limited (0836.HK).csv,69.6774193548387,70.96774193548387,64.51612903225806,65.48387096774194,67.0967741935484,67.0967741935484,67.41935483870968,67.0967741935484
9,CITIC Limited (0267.HK).csv,70.64516129032258,67.74193548387096,67.74193548387096,68.06451612903226,70.0,69.6774193548387,71.61290322580646,71.93548387096774
10,CK Infrastructure Holdings Limited (1038.HK).csv,74.19354838709677,70.0,73.22580645161291,72.58064516129032,72.58064516129032,71.93548387096774,72.58064516129032,71.61290322580646
11,CLP Holdings Limited (0002.HK).csv,78.38709677419354,78.70967741935485,79.6774193548387,79.03225806451613,81.61290322580645,79.6774193548387,81.93548387096774,81.61290322580645
12,CNOOC Limited (0883.HK).csv,68.38709677419355,69.6774193548387,67.41935483870968,66.12903225806451,69.03225806451613,70.0,67.0967741935484,67.0967741935484
13,Galaxy Entertainment Group Limited (0027.HK).csv,59.354838709677416,57.41935483870968,58.70967741935483,58.387096774193544,63.54838709677419,60.967741935483865,62.58064516129033,62.25806451612903
14,Hang Lung Properties Limited (0101.HK).csv,67.0967741935484,65.16129032258064,70.0,66.12903225806451,68.70967741935485,67.0967741935484,67.74193548387096,67.41935483870968
15,Henderson Land Development Company Limited (0012.HK).csv,64.19354838709678,61.935483870967744,64.19354838709678,67.74193548387096,65.80645161290323,63.87096774193548,65.48387096774194,65.80645161290323
16,Hengan International Group Company Limited (1044.HK).csv,67.41935483870968,67.41935483870968,66.77419354838709,68.38709677419355,66.45161290322581,67.0967741935484,67.0967741935484,67.0967741935484
17,Industrial and Commercial Bank of China Limited (1398.HK).csv,61.935483870967744,60.967741935483865,59.67741935483871,60.64516129032258,63.2258064516129,60.64516129032258,61.61290322580645,61.29032258064516
18,Lenovo Group Limited (0992.HK).csv,71.93548387096774,72.58064516129032,73.54838709677419,73.54838709677419,72.58064516129032,75.48387096774194,75.80645161290323,75.48387096774194
19,New World Development Company Limited (0017.HK).csv,68.70967741935485,68.38709677419355,68.70967741935485,68.38709677419355,67.74193548387096,68.06451612903226,69.03225806451613,69.03225806451613
20,"Ping An Insurance (Group) Company of China, Ltd. (2318.HK).csv",64.51612903225806,65.16129032258064,66.12903225806451,64.19354838709678,64.51612903225806,65.48387096774194,64.83870967741936,65.16129032258064
21,Power Assets Holdings Limited (0006.HK).csv,78.70967741935485,77.41935483870968,77.09677419354838,77.09677419354838,78.06451612903226,76.77419354838709,79.03225806451613,79.03225806451613
22,Sands China Ltd. (1928.HK).csv,65.48387096774194,66.12903225806451,66.12903225806451,67.41935483870968,67.41935483870968,67.0967741935484,64.83870967741936,64.83870967741936
23,Sino Land Company Limited (0083.HK).csv,66.77419354838709,68.70967741935485,67.41935483870968,67.0967741935484,67.0967741935484,68.70967741935485,67.41935483870968,67.74193548387096
24,Sun Hung Kai Properties Limited (0016.HK).csv,65.80645161290323,68.70967741935485,68.70967741935485,69.03225806451613,68.38709677419355,67.41935483870968,69.03225806451613,69.35483870967742
25,Tencent Holdings Limited (0700.HK).csv,56.774193548387096,60.64516129032258,55.80645161290323,57.41935483870968,58.70967741935483,56.12903225806451,56.12903225806451,56.774193548387096
26,"The Bank of East Asia, Limited (0023.HK).csv",68.38709677419355,70.3225806451613,71.93548387096774,67.0967741935484,70.3225806451613,70.64516129032258,69.6774193548387,69.6774193548387
27,The Hong Kong and China Gas Company Limited (0003.HK).csv,75.80645161290323,75.80645161290323,76.77419354838709,77.09677419354838,77.41935483870968,77.09677419354838,77.41935483870968,76.77419354838709
28,WH Group Limited (0288.HK).csv,60.0,58.70967741935483,61.935483870967744,60.967741935483865,62.25806451612903,59.354838709677416,60.0,60.322580645161295
