Date,Open,High,Low,Close,Adj Close,Volume
3/11/2013,72.099998,73,72.099998,72.849998,60.836536,2429480
3/12/2013,73.050003,73.150002,71.650002,71.699997,59.876175,2679474
3/13/2013,71.699997,72.300003,70.800003,71,59.291618,3227684
3/14/2013,70.599998,72.150002,70.25,72,60.126701,2776519
3/15/2013,72.800003,72.800003,70.75,70.900002,59.208103,4520195
3/18/2013,71.25,71.599998,70.650002,71.25,59.500389,3473325
3/19/2013,71.449997,72.900002,71.449997,72.800003,60.794785,2680070
3/20/2013,72.900002,72.900002,71,71.150002,59.416889,3434241
3/21/2013,72.099998,72.25,71.449997,71.800003,59.959694,2230290
3/22/2013,71.199997,72.199997,71.150002,71.199997,59.458633,1871526
3/25/2013,72,72,70.900002,71.199997,59.458633,1725436
3/26/2013,70.800003,71.800003,70.800003,71.599998,59.792664,1903951
3/27/2013,71.949997,72.150002,71.550003,72.050003,60.168472,1275972
3/28/2013,72.5,73.449997,71.75,73.25,61.170574,4363670
4/2/2013,73.25,74.099998,73.199997,73.699997,61.546364,1958911
4/3/2013,74.949997,74.949997,73.699997,74.550003,62.256199,2256827
4/5/2013,74.550003,75.099998,73.150002,73.349998,61.254089,4343063
4/8/2013,73.050003,73.699997,72.699997,73.199997,61.128822,1873328
4/9/2013,74.199997,74.449997,72.849998,72.949997,60.920055,1768844
4/10/2013,72.800003,74.199997,72.800003,73.949997,61.755131,2243294
4/11/2013,74.449997,74.699997,73.650002,73.849998,61.671638,2143673
4/12/2013,74.150002,74.599998,73.949997,74.400002,62.130932,2983492
4/15/2013,74.050003,74.400002,73.449997,73.599998,61.462872,1736241
4/16/2013,72.900002,73.949997,72.599998,73.650002,61.504616,2650654
4/17/2013,73.699997,73.849998,72.800003,73.050003,61.003555,2868443
4/18/2013,72.599998,73.25,72.599998,73.050003,61.003555,1965023
4/19/2013,73.599998,73.599998,72.75,73.050003,61.003555,2182210
4/22/2013,73.199997,73.900002,73,73.650002,61.504616,1321210
4/23/2013,73.949997,74,73.099998,73.400002,61.295841,1708191
4/24/2013,74,74,73.199997,73.5,61.379353,1276671
4/25/2013,73.199997,74.150002,73.150002,74,61.796894,1452913
4/26/2013,74.300003,75,74.199997,74.5,62.214436,2233228
4/29/2013,74.199997,75.150002,74.050003,75.099998,62.715492,1544611
4/30/2013,76,76,75,75.800003,63.300076,2745325
5/2/2013,75.800003,75.800003,74.400002,75,62.631985,2070622
5/3/2013,75.800003,76,75.400002,75.849998,63.341824,1321145
5/6/2013,76.5,76.5,75.599998,76.199997,63.63409,1091996
5/7/2013,76.849998,76.849998,75.550003,75.800003,63.300076,1759746
5/8/2013,77,77.199997,76.25,77.099998,64.385689,1804192
