Date,Open,High,Low,Close,Adj Close,Volume
3/8/2013,58842,59031,58129,58433,58433,4129200
3/11/2013,58440,58547,57800,58545,58545,4129000
3/12/2013,58542,58709,58113,58209,58209,3805000
3/13/2013,58204,58411,57286,57386,57386,4536800
3/14/2013,57386,57850,56722,57281,57281,4581200
3/15/2013,57275,57532,56805,56869,56869,5182400
3/18/2013,56869,57152,56139,56973,56973,3741000
3/19/2013,56973,57038,56100,56361,56361,3828800
3/20/2013,56361,56396,55831,56030,56030,4179200
3/21/2013,56025,56044,55382,55577,55577,4368400
3/22/2013,55577,55893,55098,55243,55243,3744400
3/25/2013,55250,55450,54648,54873,54873,3849400
3/26/2013,54879,55763,54879,55671,55671,3755400
3/27/2013,55677,56178,55130,56034,56034,4052600
3/28/2013,56035,56374,55874,56352,56352,4373800
4/1/2013,56348,56348,55897,55902,55902,2755200
4/2/2013,55901,56257,54809,54889,54889,3588600
4/3/2013,54888,55574,54740,55563,55563,4480400
4/4/2013,55563,55579,54432,54648,54648,4574000
4/5/2013,54646,55227,53794,55051,55051,5975800
4/8/2013,55049,55136,54333,55092,55092,5504200
4/9/2013,55101,56305,55101,55912,55912,5186200
4/10/2013,55913,56976,55913,56187,56187,5388600
4/11/2013,56190,56284,55174,55401,55401,3836800
4/12/2013,55398,55531,54458,54963,54963,4805800
4/15/2013,54952,54952,52950,52950,52950,4709400
4/16/2013,52953,54095,52953,53991,53991,4353800
4/17/2013,53984,53984,52540,52882,52882,7413000
4/18/2013,52887,53474,52392,53166,53166,4554200
4/19/2013,53169,54018,53169,53929,53929,3733000
4/22/2013,53927,54298,53420,54298,54298,4174800
4/23/2013,54301,55282,54165,54885,54885,5365600
4/24/2013,54875,55546,54723,54984,54984,3949800
4/25/2013,54989,55544,54792,54963,54963,4347800
4/26/2013,54963,55034,54147,54252,54252,4660200
4/29/2013,54254,55336,54254,54887,54887,5931200
4/30/2013,54888,55910,54585,55910,55910,7138200
5/2/2013,55919,55919,55104,55322,55322,5436000
5/3/2013,55330,56366,55330,55488,55488,8860800
5/6/2013,55488,55542,54652,55430,55430,6452600
5/7/2013,55429,56450,55207,56275,56275,6235400
5/8/2013,56281,56814,55805,55805,55805,6519800
5/9/2013,55805,56072,54905,55448,55448,4799400
5/10/2013,55446,55446,54832,55108,55108,5315200
5/13/2013,55106,55106,54389,54448,54448,3956400
5/14/2013,54442,55030,54327,54667,54667,5094800
5/15/2013,54668,55216,54488,54936,54936,4899800
5/16/2013,54943,55539,54592,54773,54773,5080200
5/17/2013,54780,55489,54780,55164,55164,4067400
5/20/2013,55162,55705,54630,55701,55701,4164800
5/21/2013,55699,56265,55379,56265,56265,3898600
5/22/2013,56269,57099,56037,56429,56429,4872400
5/23/2013,56423,56423,55379,56350,56350,4072000
5/24/2013,56350,56506,55901,56406,56406,4852600
5/27/2013,56415,56562,56353,56396,56396,2051200
5/28/2013,56399,56979,56009,56036,56036,4175200
5/29/2013,56032,56032,54635,54635,54635,5004200
5/31/2013,54633,54776,52942,53506,53506,8790400
6/3/2013,53512,53993,53143,53944,53944,4336200
6/4/2013,53944,54289,53498,54018,54018,4314600
6/5/2013,54019,54207,52774,52799,52799,4630200
6/6/2013,52813,52937,52244,52885,52885,4088800
6/7/2013,52877,52877,51428,51619,51619,5635400
6/10/2013,51619,51836,51160,51317,51317,4689400
6/11/2013,51314,51314,49709,49770,49770,5560600
6/12/2013,49777,50380,48746,49181,49181,7780000
6/13/2013,49758,50444,48968,50415,50415,6228400
6/14/2013,50415,50656,49330,49332,49332,5826000
6/17/2013,49337,50123,49074,49089,49089,5324600
6/18/2013,49089,49550,48414,49465,49465,5977200
6/19/2013,49457,49698,47838,47893,47893,6582600
6/20/2013,47884,48214,45930,48214,48214,8789400
6/21/2013,48209,48209,46918,47056,47056,6416400
6/24/2013,47039,47039,45406,45965,45965,6301400
6/25/2013,45967,47119,45967,46893,46893,4773600
6/26/2013,46903,47725,46903,47172,47172,5636200
6/27/2013,47135,48053,47135,47609,47609,5567200
6/28/2013,47609,47639,47059,47457,47457,5752800
7/1/2013,47458,47674,46676,47230,47230,6658400
7/2/2013,47222,47222,44819,45229,45229,8123400
7/3/2013,45227,45827,44552,45044,45044,6998800
7/4/2013,45046,46097,45046,45763,45763,5100400
7/5/2013,45757,45757,44107,45210,45210,6988200
7/8/2013,45211,45740,44839,45076,45076,4664000
7/10/2013,45211,45955,45082,45483,45483,4867600
7/11/2013,45494,46719,45494,46626,46626,5587800
7/12/2013,46624,46624,45529,45533,45533,5357200
7/15/2013,45533,46840,45533,46739,46739,4842800
7/16/2013,46749,47330,46417,46869,46869,4775800
7/17/2013,46869,47710,46869,47407,47407,5185000
7/18/2013,47404,48057,47093,47657,47657,4285200
7/19/2013,47650,47650,47163,47400,47400,3474000
7/22/2013,47407,48879,47407,48574,48574,4132000
7/23/2013,48579,49379,48579,48820,48820,4579400
7/24/2013,48816,48888,47999,48374,48374,5006400
7/25/2013,48372,49123,48007,49067,49067,4935600
7/26/2013,49068,49422,48633,49422,49422,3997400
7/29/2013,49414,49461,48975,49212,49212,3285200
7/30/2013,49220,49669,48560,48562,48562,5507600
7/31/2013,48558,48824,48140,48234,48234,4944600
8/1/2013,48235,49281,48235,49141,49141,4687400
8/2/2013,49141,49550,48448,48474,48474,4491200
8/5/2013,48477,48707,48264,48436,48436,3743000
8/6/2013,48436,48522,47225,47422,47422,5267000
8/7/2013,47422,47665,47164,47447,47447,4463400
8/8/2013,47453,49230,47453,48929,48929,5221800
8/9/2013,48949,50001,48836,49875,49875,6321000
8/12/2013,49878,51380,49878,50299,50299,7041200
8/13/2013,50299,50734,50040,50601,50601,6511900
8/14/2013,50594,51364,50414,50896,50896,11269000
8/15/2013,50880,51453,50050,50908,50908,8357400
8/16/2013,50906,51555,50800,51539,51539,7402400
8/19/2013,51540,52089,51115,51574,51574,6388000
8/20/2013,51561,51561,50499,50507,50507,5834400
8/21/2013,50501,51171,50055,50405,50405,5993400
8/22/2013,50408,51458,50408,51398,51398,5570000
8/23/2013,51401,52197,51166,52197,52197,5887800
8/26/2013,52200,52398,51429,51429,51429,4283400
8/27/2013,51425,51425,50018,50092,50092,5718400
8/28/2013,50092,50591,49530,49867,49867,8503400
8/29/2013,49867,50558,49845,49922,49922,7991000
8/30/2013,49932,50480,49649,50008,50008,14233400
9/2/2013,50012,51976,50012,51835,51835,9666200
9/3/2013,51833,52289,51422,51626,51626,6887000
9/4/2013,51621,51830,51108,51716,51716,5036400
9/5/2013,51715,52498,51256,52352,52352,6194200
9/6/2013,52354,54125,52354,53749,53749,10524400
9/9/2013,53752,54531,53257,54252,54252,7775400
9/10/2013,54252,54740,53769,53979,53979,6826400
9/11/2013,53982,54304,53307,53570,53570,6817000
9/12/2013,53570,53839,52945,53307,53307,6094600
9/13/2013,53311,53859,52917,53798,53798,4938600
9/16/2013,53799,54463,53559,53822,53822,4775000
9/17/2013,53823,54271,53576,54271,54271,4249200
9/18/2013,54273,55827,53982,55703,55703,7541000
9/19/2013,55703,55900,54966,55096,55096,5134600
9/20/2013,55095,55243,54019,54110,54110,4421000
9/23/2013,54110,54683,54027,54602,54602,3915400
9/24/2013,54600,54818,54164,54431,54431,4296000
9/25/2013,54425,54612,53968,54261,54261,3904000
9/26/2013,54263,54344,53429,53783,53783,6266400
9/27/2013,53781,54131,53611,53739,53739,4217400
9/30/2013,53737,53737,52291,52338,52338,6498600
10/1/2013,52337,53179,52093,53179,53179,5041900
10/2/2013,53176,53474,52871,53100,53100,4144800
10/3/2013,53101,53429,52296,52490,52490,3992100
10/4/2013,52489,52872,52113,52849,52849,4300400
10/7/2013,52841,52912,52274,52417,52417,3472200
10/8/2013,52413,52556,51870,52312,52312,4002600
10/9/2013,52313,52836,51955,52548,52548,4212400
10/10/2013,52550,53133,52512,52997,52997,4136800
10/11/2013,53000,53301,52739,53150,53150,3052400
10/14/2013,53150,54197,52833,54171,54171,4094500
10/15/2013,54176,55190,54053,54981,54981,8575300
10/16/2013,54983,56747,54902,55973,55973,12960000
10/17/2013,55966,56168,55146,55358,55358,7207200
10/18/2013,55360,56052,55004,55378,55378,5977600
10/21/2013,55380,56109,55257,56077,56077,4658500
10/22/2013,56074,56720,55898,56460,56460,4607000
10/23/2013,56459,56459,55380,55440,55440,4019200
10/24/2013,55440,55864,54443,54877,54877,5649300
10/25/2013,54863,54911,54141,54154,54154,4940300
10/28/2013,54156,55076,54070,55073,55073,5796100
10/29/2013,55076,55267,54224,54539,54539,6136200
10/30/2013,54541,54764,53917,54173,54173,6039200
10/31/2013,54174,54466,53602,54256,54256,12953800
