Date,Open,High,Low,Close,Adj Close,Volume
3/11/2013,6.94615,6.96154,6.88462,6.9,5.61315,74606818
3/12/2013,6.92308,6.99231,6.84615,6.86154,5.581862,95686237
3/13/2013,6.90769,6.90769,6.69231,6.73077,5.475481,100692363
3/14/2013,6.65385,6.75385,6.61538,6.73846,5.481737,116903326
3/15/2013,6.71538,6.81538,6.59231,6.69231,5.444194,195805259
3/18/2013,6.6,6.69231,6.6,6.63077,5.394131,85172874
3/19/2013,6.73077,6.78462,6.66154,6.67692,5.431674,89084076
3/20/2013,6.80769,6.80769,6.69231,6.78462,5.519287,92040555
3/21/2013,6.76154,6.82308,6.69231,6.71538,5.462961,105633200
3/22/2013,6.65385,6.78462,6.65385,6.73077,5.475481,111782099
3/25/2013,6.93077,7,6.86923,6.91538,5.625661,175913960
3/26/2013,7,7,6.80769,6.86154,5.581862,126803171
3/27/2013,6.96154,7.06154,6.93846,7,5.694499,213744586
3/28/2013,7,7.04615,6.85385,7.03077,5.719532,174749531
4/2/2013,7.03077,7.06923,6.93077,7.00769,5.700755,94914696
4/3/2013,7.07692,7.07692,6.95385,6.97692,5.675725,57679512
4/5/2013,6.97692,6.97692,6.71538,6.73077,5.475481,169272580
4/8/2013,6.78462,6.81538,6.71538,6.74615,5.487993,69475582
4/9/2013,6.80769,6.90769,6.76923,6.81538,5.544311,63835617
4/10/2013,6.81538,6.84615,6.72308,6.79231,5.525544,104346546
4/11/2013,6.84615,6.90769,6.80769,6.83846,5.563087,82778820
4/12/2013,6.89231,6.89231,6.79231,6.82308,5.550576,75005601
4/15/2013,6.77692,6.81538,6.61538,6.62308,5.387876,146657546
4/16/2013,6.53846,6.56154,6.45385,6.54615,5.325293,145450366
4/17/2013,6.6,6.6,6.41538,6.43077,5.231431,127493311
4/18/2013,6.4,6.49231,6.34615,6.42308,5.225175,111759595
4/19/2013,6.42308,6.54615,6.42308,6.53846,5.319036,89612552
4/22/2013,6.5,6.53846,6.44615,6.52308,5.306525,65595890
4/23/2013,6.46923,6.50769,6.30769,6.35385,5.168856,169287499
4/24/2013,6.44615,6.45385,6.38462,6.43077,5.231431,142263631
4/25/2013,6.53846,6.58462,6.49231,6.56154,5.337813,133230678
4/26/2013,6.53846,6.6,6.51538,6.51538,5.300261,118629407
4/29/2013,6.46154,6.5,6.4,6.46154,5.256463,101669148
4/30/2013,6.53846,6.59231,6.47692,6.53077,5.31278,102292239
5/2/2013,6.53077,6.53077,6.39231,6.44615,5.243942,105611035
5/3/2013,6.53846,6.53846,6.4,6.43846,5.237687,79807081
5/6/2013,6.53846,6.60769,6.49231,6.5,5.28775,109855532
5/7/2013,6.55385,6.56923,6.5,6.53846,5.319036,107927867
5/8/2013,6.56923,6.72308,6.54615,6.67692,5.431674,190418519
5/9/2013,6.73077,6.73846,6.6,6.65385,5.412906,104392878
5/10/2013,6.68462,6.7,6.60769,6.68462,5.437938,80482255
5/13/2013,6.7,6.7,6.6,6.61538,5.381611,49052234
5/14/2013,6.68462,6.69231,6.55385,6.57692,5.350325,59666018
5/15/2013,6.61538,6.65385,6.58462,6.61538,5.381611,61522709
5/16/2013,6.66923,6.66923,6.54615,6.56154,5.337813,64524451
5/20/2013,6.56154,6.68462,6.56154,6.62308,5.387876,99009330
5/21/2013,6.61538,6.66154,6.56154,6.61538,5.381611,76636347
5/22/2013,6.61538,6.66154,6.54615,6.57692,5.350325,50135916
5/23/2013,6.53846,6.56154,6.33077,6.36923,5.181368,157102271
5/24/2013,6.36923,6.40769,6.27692,6.31538,5.137562,108855842
5/27/2013,6.30769,6.35385,6.29231,6.3,5.12505,81171055
5/28/2013,6.36923,6.42308,6.32308,6.39231,5.200144,57083740
5/29/2013,6.37692,6.37692,6.23846,6.27692,5.106274,105091624
5/30/2013,6.32308,6.34615,6.16154,6.26154,5.093762,118612205
5/31/2013,6.3,6.3,6.1,6.16923,5.018668,170812373
6/3/2013,6.12308,6.2,6.08462,6.12308,4.981125,84384186
6/4/2013,6.18462,6.19231,6.08462,6.13846,4.993638,56504000
6/5/2013,6.09231,6.13077,5.93077,6.06923,4.937317,122099367
