Date,Open,High,Low,Close,Adj Close,Volume
3/11/2013,21.700001,22.25,21.35,21.65,17.261564,5619300
3/12/2013,21.75,21.75,20.85,21.049999,16.783182,7412300
3/13/2013,21.1,21.6,20.299999,20.4,16.26494,7918077
3/14/2013,20.4,20.9,19.959999,20.700001,16.504128,7535745
3/15/2013,20.1,20.6,20.1,20.200001,16.105478,6263996
3/18/2013,19.860001,21.200001,19.620001,20.950001,16.703451,12944621
3/19/2013,21.200001,22.9,21.15,22.65,18.058865,20290519
3/20/2013,22.65,23.450001,22.6,23.4,18.656839,15499588
3/21/2013,23.049999,23.4,22.5,23,18.337919,6741310
3/22/2013,22.700001,23.799999,22.65,23.5,18.736568,9306935
3/25/2013,23.049999,23.700001,23.049999,23.15,18.45751,7865200
3/26/2013,23.299999,24.15,23.25,24,19.13522,11328282
3/27/2013,23.6,23.950001,23.549999,23.85,19.015627,5704900
3/28/2013,23.799999,23.799999,23.15,23.25,18.537243,9071574
4/2/2013,23.25,23.799999,23.1,23.65,18.856163,4381429
4/3/2013,23.450001,23.950001,23.200001,23.5,18.736568,9418336
4/5/2013,23.5,23.950001,22.799999,23.200001,18.497379,5916500
4/8/2013,22.950001,23.4,22.549999,22.9,18.258188,6025358
4/9/2013,22.75,23.25,22.75,22.950001,18.298054,7292718
4/10/2013,23.299999,24,23.200001,23.85,19.015627,8674861
4/11/2013,24.200001,24.200001,23.75,23.9,19.055487,6521193
4/12/2013,23.9,24.5,23.75,24.200001,19.29468,6789895
4/15/2013,23.65,23.85,22.700001,22.75,18.138594,11974311
4/16/2013,21.9,23,21.9,22.6,18.018999,12008264
4/17/2013,22.950001,23.4,22.65,22.9,18.258188,7218877
4/18/2013,22.9,23.200001,22.5,23.049999,18.377781,6791054
4/19/2013,23,23.450001,22.9,23.4,18.656839,6189000
4/22/2013,23.15,24.450001,23.15,24.450001,19.494007,7603376
4/23/2013,24.5,24.6,23.65,23.700001,18.896029,4382105
4/24/2013,24.1,24.65,24.049999,24.450001,19.494007,5817482
4/25/2013,25.5,25.5,24.35,24.549999,19.57373,7497707
4/26/2013,25,25.25,24.85,24.950001,19.892656,4225864
4/29/2013,25.25,25.799999,25.15,25.4,20.251438,3857459
4/30/2013,25.4,25.700001,25.049999,25.4,20.251438,6068789
5/2/2013,25.4,25.5,24.85,25.35,20.211575,3246611
5/3/2013,25.25,26.049999,25.049999,25.4,20.251438,5355208
5/6/2013,25.4,25.4,25.4,25.4,20.251438,0
5/7/2013,25.4,25.4,25.4,25.4,20.251438,0
5/8/2013,25.4,25.4,25.4,25.4,20.251438,0
5/9/2013,25.4,25.4,25.4,25.4,20.251438,0
5/10/2013,24.049999,24.049999,22.15,22.85,18.218321,44807157
5/13/2013,22.700001,22.950001,22.450001,22.700001,18.098728,33837947
5/14/2013,22.950001,23.25,22.15,22.299999,17.779806,25444437
5/15/2013,22.700001,22.9,22.299999,22.75,18.138594,23626020
5/16/2013,22.85,23,22.65,22.799999,18.178457,9552560
5/20/2013,22.799999,23.1,21.799999,22.049999,17.580481,13870889
5/21/2013,21.85,22.15,20.75,21.1,16.823048,24875900
5/22/2013,21.049999,21.049999,19.940001,20.15,16.065611,24963700
5/23/2013,20.15,20.6,20.049999,20.1,16.025747,16832481
5/24/2013,20.549999,20.6,20.1,20.200001,16.105478,8527470
5/27/2013,20.200001,20.299999,19.700001,19.719999,15.722772,10773880
5/28/2013,19.9,20.700001,19.76,20.450001,16.304802,12875260
5/29/2013,20.35,20.85,20.1,20.700001,16.504128,16216267
5/30/2013,20.85,21.1,20.700001,20.9,16.663586,18588422
5/31/2013,20.700001,20.85,20.1,20.450001,16.304802,16801978
6/3/2013,20,20.6,19.92,20.299999,16.185204,9837693
6/4/2013,20.35,20.6,19.74,19.780001,15.77061,10305457
6/5/2013,19.540001,19.799999,19.4,19.540001,15.579258,9072200
6/6/2013,19.540001,19.540001,18.860001,19.280001,15.37196,8347413
6/7/2013,19.48,19.58,18.6,18.639999,14.861685,11630152
6/10/2013,18.700001,19.18,18.700001,18.82,15.0052,13331730
6/11/2013,18.92,19.120001,18.780001,18.940001,15.100876,9692390
6/13/2013,18.940001,18.940001,17.6,18.08,14.766026,15859076
6/14/2013,18.139999,19.059999,18.08,18.9,15.435727,9003818
6/17/2013,18.620001,19.24,18.620001,18.860001,15.403056,14919581
6/18/2013,18.540001,18.700001,18.16,18.42,15.043709,6504991
6/19/2013,18.219999,18.559999,17.9,17.940001,14.65169,11205756
6/20/2013,17.799999,17.860001,17.299999,17.459999,14.259671,5258003
6/21/2013,17.120001,18.02,17.1,17.799999,14.537349,11318806
6/24/2013,17.4,17.92,17.120001,17.18,14.030995,7174879
6/25/2013,17.4,17.42,16.440001,16.799999,13.720645,10547045
6/26/2013,17.120001,17.379999,16.68,17.280001,14.112666,9483630
6/27/2013,17.559999,18.42,17.379999,18.360001,14.994705,16364196
6/28/2013,18.459999,18.6,18.16,18.48,15.092711,14056128
7/2/2013,18.48,18.9,18.32,18.360001,14.994705,9569592
7/3/2013,18.299999,18.34,17.700001,18.120001,14.798698,6062356
7/4/2013,18.299999,18.5,17.940001,18.4,15.027372,4280230
7/5/2013,18.26,19.26,18.26,19.16,15.64807,7270389
7/8/2013,18.9,19.32,18.620001,19.24,15.713403,6906334
7/9/2013,18.92,19.540001,18.76,19.24,15.713403,4404291
7/10/2013,19.459999,20.200001,19.280001,20.15,16.456604,9134125
7/11/2013,20.450001,20.450001,19.860001,20.200001,16.497442,9763455
7/12/2013,20.35,20.4,19.58,19.82,16.187098,5523094
7/15/2013,19.719999,20.25,19.68,19.959999,16.301434,4257992
7/16/2013,19.74,20,19.68,19.98,16.317766,3127262
7/17/2013,20.200001,20.25,17.620001,17.98,14.684356,45647430
7/18/2013,17.9,18.58,17.540001,17.66,14.423012,51314821
7/19/2013,17.5,17.58,16.620001,16.860001,13.769648,52609271
7/22/2013,17.1,17.9,17.1,17.74,14.488348,19262994
7/23/2013,17.940001,18.540001,17.34,18.379999,15.011037,28809100
7/24/2013,18.299999,18.799999,18.26,18.5,15.109044,17489432
7/25/2013,18.6,18.940001,18.48,18.82,15.370389,16352027
7/26/2013,18.58,18.879999,18.440001,18.719999,15.288719,11699345
7/29/2013,18.58,18.74,18.26,18.459999,15.076375,8916947
7/30/2013,18.459999,18.58,18.280001,18.32,14.962038,8600400
7/31/2013,18.1,18.4,18,18.059999,14.749695,10769924
8/1/2013,18.4,18.440001,17.879999,17.959999,14.668023,14096380
8/2/2013,18,18.139999,17.6,17.639999,14.406675,17040817
8/5/2013,17.799999,17.799999,17.459999,17.48,14.276007,8246059
8/6/2013,17.299999,17.98,17,17.200001,14.047327,10715867
8/7/2013,17.040001,17.299999,17.02,17.059999,13.932988,9421705
8/8/2013,17.02,17.379999,17.02,17.16,14.01466,6208946
8/9/2013,17.280001,17.74,17.18,17.6,14.374009,6030724
8/12/2013,17.700001,18.6,17.700001,18.58,15.174381,12346500
8/13/2013,18.58,18.6,18.120001,18.379999,15.011037,10025788
8/14/2013,18.379999,18.379999,18.379999,18.379999,15.011037,0
8/15/2013,18.34,18.959999,18.34,18.9,15.435727,8321484
8/16/2013,18.9,18.9,18.459999,18.700001,15.272388,5827787
8/19/2013,18.459999,18.780001,17.5,17.540001,14.325006,22050100
8/20/2013,17.92,18.08,17.700001,18,14.700692,18134603
8/21/2013,18.139999,18.139999,17.66,17.74,14.488348,7760681
8/22/2013,17.74,18.440001,17.559999,18.4,15.027372,7759134
8/23/2013,18.4,18.4,17.719999,17.799999,14.537349,8086527
8/26/2013,17.959999,18.059999,17.719999,17.719999,14.472013,3565517
8/27/2013,17.68,17.959999,17.6,17.700001,14.455681,6162000
8/28/2013,17.6,17.700001,17.4,17.52,14.308675,8608332
8/29/2013,17.6,17.6,17.18,17.360001,14.178,7155000
8/30/2013,17.120001,17.860001,17.1,17.799999,14.537349,6963890
9/2/2013,17.82,18.1,17.200001,17.280001,14.112666,10166530
9/3/2013,17.440001,17.48,16.92,17.4,14.210669,10812991
9/4/2013,17.299999,17.540001,17.200001,17.299999,14.128998,6136120
9/5/2013,17.6,17.6,17.280001,17.32,14.145333,8232990
9/6/2013,17.42,17.48,17.299999,17.34,14.161664,5657569
9/9/2013,17.4,17.559999,17.299999,17.34,14.161664,8539000
9/10/2013,17.42,17.68,17.219999,17.6,14.374009,10685555
9/11/2013,17.799999,18.879999,17.780001,18.84,15.386724,27090965
9/12/2013,18.940001,18.940001,18.4,18.540001,15.206283,9778964
9/13/2013,18.379999,18.66,18.1,18.52,15.189881,12006465
9/16/2013,18.799999,18.879999,18.200001,18.280001,14.993037,10562591
9/17/2013,18.48,18.48,18.120001,18.219999,14.943821,6519021
9/18/2013,18.42,18.42,18.02,18.059999,14.812592,8672711
9/19/2013,18.440001,18.440001,17.959999,18,14.763382,7530350
9/23/2013,18,18.299999,17.92,18.040001,14.796189,7569130
9/24/2013,17.959999,18.16,17.879999,18.08,14.828998,6018944
9/25/2013,18.18,18.280001,18.040001,18.26,14.976628,6515578
9/26/2013,18.440001,18.440001,18.120001,18.24,14.960226,6224700
9/27/2013,18.280001,18.379999,18.02,18.34,15.042245,6291708
9/30/2013,18.26,18.5,18.1,18.440001,15.124262,7344820
10/2/2013,18.440001,18.52,18.200001,18.5,15.173473,5848232
10/3/2013,18.5,18.540001,18.24,18.48,15.157071,5730248
10/4/2013,18.440001,18.66,18.4,18.6,15.255494,3392602
10/7/2013,18.6,19.1,18.48,19,15.583568,6610114
10/8/2013,18.9,19.76,18.799999,19.700001,16.1577,10036226
10/9/2013,19.719999,20.1,19.6,19.959999,16.370951,8888520
10/10/2013,19.799999,19.860001,19.24,19.52,16.010069,12591253
10/11/2013,19.799999,19.799999,19.52,19.559999,16.042871,7218334
10/15/2013,19.559999,19.860001,19.02,19.34,15.862432,5264127
