Stock Components,Logistic Regression % (0.1) (1-),SVM % (0.1) (1-),Random Forest % (0.1) (1-),Gradient Boosting % (0.1) (1-)
AAC Technologies Holdings Inc. (2018.HK),52.35,54.15,53.97,58.12
AIA Group Limited (1299.HK),53.43,53.25,53.07,52.53
BOC Hong Kong (Holdings) Limited (2388.HK),53.25,55.78,53.97,53.43
China Life Insurance Company Limited (2628.HK),56.5,56.5,54.87,60.83
China Mengniu Dairy Company Limited (2319.HK),53.07,55.96,52.89,59.75
China Mobile Limited (0941.HK),54.51,56.5,54.69,56.5
China Petroleum & Chemical Corporation(0386.HK),55.23,61.01,55.42,64.26
China Resources Land Limited (1109.HK),53.79,55.96,54.33,60.47
China Resources Power Holdings Company Limited (0836.HK),53.07,54.33,51.81,57.94
CITIC Limited (0267.HK),55.6,55.78,53.07,63.9
CK Infrastructure Holdings Limited (1038.HK),54.69,52.89,57.58,54.87
CLP Holdings Limited (0002.HK),53.97,54.87,49.64,61.19
CNOOC Limited (0883.HK),59.03,62.45,55.96,64.98
Galaxy Entertainment Group Limited (0027.HK),52.17,51.62,50.36,57.58
Hang Lung Properties Limited (0101.HK),52.89,55.78,53.07,59.03
Henderson Land Development Company Limited (0012.HK),54.51,53.79,54.69,61.01
Hengan International Group Company Limited (1044.HK),56.5,55.78,52.35,59.75
Industrial and Commercial Bank of China Limited (1398.HK),54.33,59.93,50.72,59.39
Lenovo Group Limited (0992.HK),53.07,59.75,53.97,61.73
New World Development Company Limited (0017.HK),51.44,51.44,50.18,57.04
"Ping An Insurance (Group) Company of China, Ltd. (2318.HK)",57.04,57.94,55.05,60.29
Power Assets Holdings Limited (0006.HK),53.79,54.15,55.42,59.03
Sands China Ltd. (1928.HK),52.35,56.5,52.17,59.75
Sino Land Company Limited (0083.HK),49.46,54.69,53.61,59.21
Sun Hung Kai Properties Limited (0016.HK),54.51,56.5,53.79,58.3
Tencent Holdings Limited (0700.HK),57.04,59.93,52.35,65.88
"The Bank of East Asia, Limited (0023.HK)",57.04,55.78,54.51,59.57
The Hong Kong and China Gas Company Limited (0003.HK),54.87,53.79,50.9,56.68
WH Group Limited (0288.HK),48.01,48.01,50.54,56.14
