Date,Open,High,Low,Close,Adj Close,Volume
3/8/2013,719.580017,724.719971,719.02002,723.789978,723.789978,223770200
3/11/2013,722.619995,723.309998,720.52002,723.150024,723.150024,151295400
3/12/2013,721.349976,725.22998,721.080017,722.950012,722.950012,162523600
3/13/2013,722.289978,723.460022,719.530029,722.950012,722.950012,166459800
3/14/2013,725.679993,729.340027,724.809998,729.340027,729.340027,232951600
3/15/2013,728.880005,728.880005,721.97998,724.200012,724.200012,388149200
3/18/2013,712.73999,723.919983,711.799988,722.98999,722.98999,221809400
3/19/2013,721.539978,721.98999,714.890015,716.640015,716.640015,236139400
3/20/2013,719.909973,724.630005,718.669983,723.929993,723.929993,205708600
3/21/2013,722.820007,722.909973,714.02002,717.309998,717.309998,201568000
3/22/2013,715.630005,720.23999,712.830017,717.179993,717.179993,203453400
3/25/2013,725.27002,727.419983,710.349976,711.799988,711.799988,255044600
3/26/2013,712.869995,716.900024,710.880005,714.609985,714.609985,221559800
3/27/2013,716.869995,717.280029,702.119995,708.359985,708.359985,265071800
3/28/2013,708.450012,716.190002,707.26001,713.080017,713.080017,259889200
4/2/2013,712.460022,725.880005,712.460022,725.299988,725.299988,242569600
4/3/2013,722.869995,726.429993,716.900024,717.23999,717.23999,226350000
4/4/2013,719.409973,722.440002,710.169983,711.080017,711.080017,273326000
4/5/2013,711.700012,712.299988,694.690002,699.22998,699.22998,257938000
4/8/2013,701.48999,705.419983,700.369995,701.02002,701.02002,162153200
4/9/2013,704.539978,705.219971,698.369995,700.640015,700.640015,201043600
4/10/2013,703.590027,716.210022,703.460022,715.200012,715.200012,276136600
4/11/2013,714.859985,721.840027,714.390015,719.97998,719.97998,225527000
4/12/2013,718.25,719.47998,711.030029,712.669983,712.669983,259259400
4/15/2013,712.530029,714.659973,704.710022,708.549988,708.549988,212724400
4/16/2013,704.640015,709.01001,701.619995,703.349976,703.349976,227187000
4/17/2013,707.159973,707.840027,689.409973,690.77002,690.77002,310427600
4/18/2013,693.349976,695.669983,687.940002,690.409973,690.409973,260811000
4/19/2013,695.830017,698.909973,691.76001,698.289978,698.289978,246726200
4/22/2013,702.109985,703.599976,695.440002,698.609985,698.609985,197323400
4/23/2013,699.5,719.340027,699.5,719.340027,719.340027,290141200
4/24/2013,719.169983,727.869995,718.099976,727.200012,727.200012,277817000
4/25/2013,725.539978,730.090027,725.219971,727.789978,727.789978,262142600
4/26/2013,723.070007,723.539978,717.630005,719.780029,719.780029,256665400
4/29/2013,722.159973,729.27002,722.159973,729.080017,729.080017,226302000
4/30/2013,729.289978,729.919983,723.919983,726.809998,726.809998,275976200
5/2/2013,723.780029,733.219971,722.830017,729.340027,729.340027,333628200
5/3/2013,731.179993,738.780029,728.080017,737.75,737.75,301846400
5/6/2013,737.52002,738.909973,736.309998,737.619995,737.619995,154782000
5/7/2013,737.349976,740.780029,736.23999,738.039978,738.039978,335018800
5/8/2013,738.219971,743.679993,737.47998,743.380005,743.380005,279798000
5/9/2013,740.049988,742.599976,737.200012,740.869995,740.869995,196043800
5/10/2013,741.359985,747.219971,740.919983,745.219971,745.219971,260818400
5/13/2013,744.619995,746.690002,742.460022,744.409973,744.409973,236161600
5/14/2013,745.280029,748.72998,741.809998,748.72998,748.72998,257698600
5/15/2013,747.97998,752.330017,746.799988,752.059998,752.059998,281007000
5/16/2013,750.570007,752.47998,748.599976,751.070007,751.070007,242862400
5/17/2013,749.289978,755.929993,747.690002,753.849976,753.849976,346880000
5/20/2013,754.700012,757.130005,752.640015,757.130005,757.130005,180777200
5/21/2013,755.210022,758.690002,751.840027,758.690002,758.690002,247455200
5/22/2013,758.580017,762.049988,755.080017,760.75,760.75,242864000
5/23/2013,745.650024,749.669983,742.599976,746.73999,746.73999,355694000
5/24/2013,749.369995,751.179993,742.409973,745.26001,745.26001,167202400
5/27/2013,748.530029,751.080017,747.710022,750.73999,750.73999,101728000
5/28/2013,753.179993,763.900024,752.880005,760.179993,760.179993,299840800
5/29/2013,755.359985,756.320007,746.039978,746.580017,746.580017,266240400
5/30/2013,744.559998,753.119995,744.559998,749.48999,749.48999,273701000
5/31/2013,749.219971,749.219971,739.049988,740.840027,740.840027,443682000
6/3/2013,737.47998,744.119995,730.460022,735.070007,735.070007,303094800
6/4/2013,739.940002,741.429993,734.700012,735.98999,735.98999,259413000
6/5/2013,731.880005,734.219971,722.969971,722.969971,722.969971,279106200
6/6/2013,724.02002,727.919983,717.429993,717.429993,717.429993,286604400
6/7/2013,719.049988,729.669983,714.940002,727.059998,727.059998,318567800
6/10/2013,725.440002,728.789978,724.150024,725.880005,725.880005,195616600
6/11/2013,723.190002,723.190002,711.599976,717.340027,717.340027,258027800
6/12/2013,716.48999,721.880005,714.099976,714.289978,714.289978,212153200
6/13/2013,705.700012,715.429993,702.76001,714.330017,714.330017,269856000
6/14/2013,719.159973,720.200012,714.130005,716.01001,716.01001,218257200
6/17/2013,718.119995,727.919983,717.890015,724.719971,724.719971,247946000
6/18/2013,721.299988,726.390015,720.52002,724.419983,724.419983,216643200
6/19/2013,725.75,726.190002,718.950012,721.72998,721.72998,323479400
6/20/2013,711.25,712.090027,697.289978,698.01001,698.01001,380422800
6/21/2013,701.030029,706.219971,690.140015,690.140015,690.140015,414932000
6/24/2013,687.72998,690.669983,674.650024,678.049988,678.049988,346070000
6/25/2013,685.630005,687.909973,681.280029,687.210022,687.210022,280136200
6/26/2013,688.48999,701.75,685.799988,700.780029,700.780029,319370200
6/27/2013,700.929993,711.01001,698.280029,707.780029,707.780029,221974000
6/28/2013,708.700012,710.080017,701.799988,703.840027,703.840027,262106200
7/1/2013,708.380005,712.840027,701.76001,709.840027,709.840027,207994600
7/2/2013,712,712,704.080017,706.640015,706.640015,173455000
7/3/2013,700.419983,700.51001,693.390015,699.119995,699.119995,262018600
7/4/2013,704.200012,718.25,703.539978,718.119995,718.119995,232823400
7/5/2013,718.880005,723.109985,709.710022,709.710022,709.710022,221929200
7/8/2013,714.950012,724.76001,714.830017,721.619995,721.619995,169508800
7/9/2013,725.049988,729.200012,724.75,727.27002,727.27002,189049400
7/10/2013,727.349976,730.390015,723.659973,728.890015,728.890015,161715200
7/11/2013,736.059998,736.630005,731.27002,733.26001,733.26001,208768200
7/12/2013,735.179993,736.599976,730.369995,731.159973,731.159973,164546000
7/15/2013,732.840027,737.700012,732.840027,735.48999,735.48999,128766600
7/16/2013,735.849976,736.150024,729.090027,729.700012,729.700012,149494600
7/17/2013,730.849976,734.919983,724.380005,732.630005,732.630005,172994800
7/18/2013,730.820007,740.330017,730.820007,740.330017,740.330017,193227600
7/19/2013,738.309998,739.659973,735.549988,739.659973,739.659973,203812800
7/22/2013,740.02002,742.25,737.76001,740.75,740.75,271155000
7/23/2013,742.619995,743.359985,737.429993,737.429993,737.429993,354932200
7/24/2013,738.659973,746.76001,738.659973,744.890015,744.890015,271702200
7/25/2013,744.700012,745.950012,736.719971,742.289978,742.289978,228195200
7/26/2013,746.070007,749.47998,741.429993,743.099976,743.099976,197936600
7/29/2013,746.73999,748.690002,741.539978,742.849976,742.849976,229396600
7/30/2013,745.98999,749.22998,744.049988,747.049988,747.049988,181209200
7/31/2013,747.02002,753.599976,746.070007,751.710022,751.710022,213733400
8/1/2013,752.76001,760.580017,752.190002,760.299988,760.299988,275672000
8/2/2013,763.549988,763.549988,758.080017,760.98999,760.98999,209919900
8/5/2013,761.849976,764.27002,760.150024,762.039978,762.039978,155768000
8/6/2013,761.669983,764.530029,756.080017,759.570007,759.570007,202069300
8/7/2013,757.23999,760.72998,755.150024,759.289978,759.289978,232600200
8/8/2013,761.27002,764.919983,758.590027,764.289978,764.289978,208459000
8/9/2013,766.159973,768.929993,762.909973,767.320007,767.320007,391261500
8/12/2013,768.01001,769.380005,762.700012,767.469971,767.469971,211284400
8/13/2013,769.099976,771.320007,768.609985,771.169983,771.169983,186420100
8/14/2013,771.909973,775.700012,770.77002,773.869995,773.869995,230378700
8/15/2013,772.73999,772.940002,762.609985,768.570007,768.570007,165903700
8/16/2013,767.869995,771.919983,765.349976,771.919983,771.919983,198451000
8/19/2013,771.609985,771.820007,765.5,766.039978,766.039978,144512700
8/20/2013,762.77002,762.909973,751.830017,756.440002,756.440002,203761600
8/21/2013,757.559998,758.619995,753.809998,754.039978,754.039978,149082000
8/22/2013,754.570007,763.47998,754.570007,761.47998,761.47998,197277500
8/23/2013,761.840027,764.559998,756.590027,763.909973,763.909973,151117200
8/26/2013,764.23999,764.299988,758.210022,762.73999,762.73999,140957100
8/27/2013,759.450012,761.97998,745.599976,745.659973,745.659973,249039200
8/28/2013,743.330017,746.059998,739.330017,744.190002,744.190002,227479300
8/29/2013,747.380005,749.950012,743.419983,749.280029,749.280029,179466600
8/30/2013,749.5,750.539978,741.409973,741.409973,741.409973,319565600
9/2/2013,748.580017,755.26001,748.580017,753.700012,753.700012,157783600
9/3/2013,754.539978,754.539978,744.900024,749.320007,749.320007,181839600
9/4/2013,750.539978,751.72998,742.130005,750.47998,750.47998,174894900
9/5/2013,751.419983,755.460022,748.429993,755.219971,755.219971,223016300
9/6/2013,753.76001,761.390015,751.119995,761.390015,761.390015,222916800
9/9/2013,760.940002,761.299988,756.359985,759,759,159361700
9/10/2013,764.380005,771.820007,763.98999,771.22998,771.22998,221879000
9/11/2013,770.179993,771.960022,768.359985,771.76001,771.76001,187028900
9/12/2013,771.400024,772.419983,767.76001,770.400024,770.400024,221439600
9/13/2013,769.409973,772.400024,768.880005,772.039978,772.039978,163527600
9/16/2013,778.700012,780.119995,776.309998,778.320007,778.320007,208573400
9/17/2013,776.830017,778.070007,774.48999,776.47998,776.47998,181746600
9/18/2013,776.799988,781.299988,775.140015,781.299988,781.299988,174714000
9/19/2013,790.320007,791.51001,784.400024,786.75,786.75,273354100
9/20/2013,784.169983,789.070007,784.169983,785.880005,785.880005,354075900
9/23/2013,786.059998,787.789978,778.469971,780.099976,780.099976,182894900
9/24/2013,780.299988,784.609985,780.299988,783.210022,783.210022,168596600
9/25/2013,781.73999,783.799988,778.580017,782.719971,782.719971,172832100
9/26/2013,783.580017,784.719971,779.47998,782.340027,782.340027,164368600
9/27/2013,782.719971,784.340027,777.950012,781.289978,781.289978,150459900
9/30/2013,774.030029,776.460022,771.97998,776.130005,776.130005,193041700
10/1/2013,775.630005,783.159973,775.630005,783.159973,783.159973,186694600
10/2/2013,780.380005,780.380005,773.049988,776.799988,776.799988,255364000
10/3/2013,778.650024,778.710022,772.169983,772.51001,772.51001,161847600
10/4/2013,773.169983,779.26001,771.369995,777.340027,777.340027,160443200
10/7/2013,774.090027,776.22998,767.330017,776.049988,776.049988,147979100
10/8/2013,775.359985,777.179993,770.51001,770.51001,770.51001,156322300
10/9/2013,769.340027,773.179993,766.369995,768.409973,768.409973,200024300
10/10/2013,773.080017,783.179993,771.700012,782.840027,782.840027,229337700
10/11/2013,784.950012,785.179993,782.380005,784.169983,784.169983,165598700
10/14/2013,781.440002,784.109985,779.799988,784.099976,784.099976,141743400
10/15/2013,787.460022,791.880005,787.070007,791.039978,791.039978,199880500
10/16/2013,786.390015,791.039978,784.48999,790.26001,790.26001,206936400
10/17/2013,788.830017,790.599976,784.710022,789.820007,789.820007,254826300
10/18/2013,793.630005,798.390015,792.130005,798.390015,798.390015,226136900
10/21/2013,799.219971,799.51001,797.01001,798.570007,798.570007,177580100
10/22/2013,797.400024,804.719971,797.01001,802.429993,802.429993,215579700
10/23/2013,798.179993,798.580017,794.690002,796.570007,796.570007,203304400
10/24/2013,798.640015,799.909973,796.659973,799.179993,799.179993,171165400
10/25/2013,795.090027,799.429993,793.97998,798.179993,798.179993,175735800
10/28/2013,800.830017,800.890015,793.830017,796.030029,796.030029,153997700
10/29/2013,795.23999,801.429993,795.23999,801.049988,801.049988,159942300
10/30/2013,800.780029,805.469971,797.75,799.469971,799.469971,158415600
10/31/2013,795.780029,803.919983,795.679993,803.47998,803.47998,219172500
11/1/2013,804.01001,804.349976,798.76001,800.030029,800.030029,190160500
11/4/2013,801.919983,804.429993,800.98999,802.75,802.75,230045200
11/5/2013,803.630005,803.909973,794.299988,797.919983,797.919983,254329400
11/6/2013,800.309998,806.440002,800.22998,804.190002,804.190002,262064800
11/7/2013,803.789978,815.150024,800.590027,802.309998,802.309998,324583800
11/8/2013,797.77002,800.76001,791.710022,799.710022,799.710022,245815200
11/11/2013,801.280029,806.210022,799.630005,805.539978,805.539978,145642600
11/12/2013,804.789978,806.47998,800.929993,800.929993,800.929993,165567800
11/13/2013,797.98999,801.059998,791.51001,796.309998,796.309998,202067400
11/14/2013,804.669983,805.109985,800.309998,804.679993,804.679993,222833100
11/15/2013,804.01001,806.27002,801.880005,805.210022,805.210022,202542200
11/18/2013,803.909973,811.460022,801.969971,809.02002,809.02002,189230800
11/19/2013,806.02002,806.23999,801.359985,802.640015,802.640015,199058600
11/20/2013,800.940002,805.590027,798.630005,802.330017,802.330017,236975700
11/21/2013,798.390015,801.719971,794.830017,799.52002,799.52002,193872400
11/22/2013,801.26001,803.700012,798.070007,801.98999,801.98999,179776200
11/25/2013,805.580017,807.070007,804.5,806.309998,806.309998,162736700
11/26/2013,804.390015,806.080017,801,801,801,362780300
11/27/2013,802.400024,805.429993,801.450012,804.219971,804.219971,193573500
11/28/2013,803.570007,806.650024,803.570007,805.22998,805.22998,130218400
11/29/2013,804.25,806.73999,804.25,804.640015,804.640015,162285800
12/2/2013,804.72998,806.900024,801.140015,803.179993,803.179993,175316900
12/3/2013,802.340027,802.340027,786.700012,786.700012,786.700012,225854700
12/4/2013,789.140015,789.469971,777.570007,782.080017,782.080017,217068100
12/5/2013,780.77002,782.809998,774.130005,774.130005,774.130005,210194700
12/6/2013,776.48999,781.849976,772.549988,781.070007,781.070007,239016600
12/9/2013,783.72998,783.72998,777.789978,782.150024,782.150024,168368200
12/10/2013,780.900024,784.190002,775.880005,776.049988,776.049988,174306600
12/11/2013,776.22998,781.309998,773.799988,774,774,196344400
12/12/2013,771.5,773.22998,767.429993,768.820007,768.820007,206590000
12/13/2013,768.289978,771.130005,765.840027,766.880005,766.880005,171516800
12/16/2013,765.77002,778.73999,765.75,777.429993,777.429993,198578100
12/17/2013,774.72998,774.72998,769.590027,769.590027,769.590027,180108900
12/18/2013,773.309998,776.580017,770.929993,776.580017,776.580017,187514500
12/19/2013,783.630005,789.280029,783.210022,784.849976,784.849976,149991200
12/20/2013,788.539978,792.369995,787.309998,791.619995,791.619995,433517600
12/23/2013,793,796.549988,792.190002,796.549988,796.549988,142438900
12/24/2013,796.349976,799.51001,796.090027,798.109985,798.109985,39011900
12/27/2013,802.309998,807.22998,801.539978,807.22998,807.22998,133579800
12/30/2013,807.929993,809.26001,805.409973,806.359985,806.359985,118490800
12/31/2013,806.98999,810.030029,806.98999,809.950012,809.950012,39317700
