Date,Open,High,Low,Close,Volume
3/8/2018,9.727,9.7573,9.6441,9.6537,0
3/7/2018,9.7166,9.7514,9.7052,9.7247,0
3/6/2018,9.6621,9.7307,9.657,9.7167,0
3/5/2018,9.6495,9.6829,9.608,9.6618,0
3/2/2018,9.6014,9.6607,9.5914,9.6453,0
3/1/2018,9.543,9.6066,9.5124,9.6029,0
2/28/2018,9.5762,9.5848,9.539,9.5434,0
2/27/2018,9.6362,9.6634,9.5661,9.5754,0
2/26/2018,9.6217,9.6672,9.6062,9.6365,0
2/23/2018,9.6463,9.6538,9.6059,9.618,0
2/22/2018,9.6121,9.6664,9.5938,9.6479,0
2/21/2018,9.6534,9.6727,9.6099,9.6127,0
2/20/2018,9.706,9.7101,9.6393,9.6537,0
2/19/2018,9.7055,9.7272,9.6733,9.705,0
2/16/2018,9.7805,9.8212,9.695,9.7043,0
2/15/2018,9.738,9.7872,9.7358,9.7804,0
2/14/2018,9.6632,9.7523,9.6023,9.7391,0
2/13/2018,9.6125,9.6782,9.6076,9.6631,0
2/12/2018,9.5794,9.6164,9.5664,9.6115,0
2/9/2018,9.5775,9.6098,9.5436,9.5654,0
2/8/2018,9.5884,9.6145,9.5483,9.5791,0
2/7/2018,9.6771,9.7006,9.574,9.5891,0
2/6/2018,9.6717,9.7225,9.6278,9.6771,0
2/5/2018,9.7412,9.7564,9.6675,9.6722,0
2/2/2018,9.782,9.7893,9.705,9.7467,0
2/1/2018,9.7111,9.7949,9.6865,9.7823,0
1/31/2018,9.6987,9.7581,9.6878,9.7166,0
1/30/2018,9.6807,9.7386,9.6441,9.6994,0
1/29/2018,9.7141,9.7219,9.6442,9.6805,0
1/26/2018,9.6901,9.77,9.6709,9.7098,0
1/25/2018,9.7004,9.8013,9.6641,9.6913,0
1/24/2018,9.6167,9.7087,9.6121,9.701,0
1/23/2018,9.5877,9.6222,9.5551,9.6165,0
1/22/2018,9.5893,9.5955,9.5498,9.5869,0
1/19/2018,9.565,9.6134,9.5516,9.553,0
1/18/2018,9.5269,9.5886,9.5101,9.5665,0
1/17/2018,9.5902,9.6419,9.5192,9.5274,0
1/16/2018,9.5946,9.6115,9.5399,9.5915,0
1/15/2018,9.5422,9.6221,9.5353,9.5939,0
1/12/2018,9.4133,9.5355,9.4116,9.5331,0
1/11/2018,9.3449,9.4343,9.3322,9.4127,0
1/10/2018,9.3364,9.4016,9.3274,9.3456,0
1/9/2018,9.3589,9.369,9.3194,9.3358,0
1/8/2018,9.4053,9.4266,9.3518,9.3591,0
