Date,Open,High,Low,Close,Volume
3/8/2018,7.8354,7.8438,7.8331,7.8408,0
3/7/2018,7.8335,7.8366,7.8331,7.8355,0
3/6/2018,7.8323,7.8342,7.8312,7.8335,0
3/5/2018,7.8304,7.8336,7.83,7.8323,0
3/2/2018,7.8278,7.8323,7.827,7.8305,0
3/1/2018,7.8261,7.8282,7.8251,7.828,0
2/28/2018,7.8274,7.8299,7.825,7.8263,0
2/27/2018,7.8233,7.8278,7.8228,7.8274,0
2/26/2018,7.8229,7.8244,7.8229,7.8236,0
2/23/2018,7.8243,7.8248,7.822,7.8236,0
2/22/2018,7.8252,7.8274,7.8239,7.8243,0
2/21/2018,7.8243,7.8258,7.8239,7.8254,0
2/20/2018,7.8217,7.825,7.8212,7.8242,0
2/19/2018,7.8216,7.8229,7.8209,7.8219,0
2/16/2018,7.8205,7.8229,7.8197,7.8223,0
2/15/2018,7.8221,7.8235,7.8198,7.8205,0
2/14/2018,7.8231,7.8231,7.8212,7.8225,0
2/13/2018,7.8193,7.8238,7.8193,7.8232,0
2/12/2018,7.8185,7.8215,7.818,7.8193,0
2/9/2018,7.8214,7.8216,7.8179,7.8181,0
2/8/2018,7.8182,7.8227,7.8174,7.8216,0
2/7/2018,7.8187,7.82,7.8178,7.8182,0
2/6/2018,7.8205,7.8216,7.8182,7.8186,0
2/5/2018,7.8201,7.8228,7.8197,7.8206,0
2/2/2018,7.8195,7.8217,7.819,7.8214,0
2/1/2018,7.8231,7.8231,7.8194,7.8197,0
1/31/2018,7.8209,7.8231,7.819,7.8228,0
1/30/2018,7.8177,7.821,7.8172,7.8208,0
1/29/2018,7.8181,7.8198,7.817,7.8178,0
1/26/2018,7.8177,7.8197,7.8168,7.8172,0
1/25/2018,7.8183,7.8186,7.8159,7.8178,0
1/24/2018,7.8187,7.8197,7.8171,7.8183,0
1/23/2018,7.8182,7.8201,7.8167,7.8189,0
1/22/2018,7.8175,7.821,7.8163,7.8183,0
1/19/2018,7.8167,7.8209,7.8163,7.8166,0
1/18/2018,7.8181,7.8219,7.8151,7.8167,0
1/17/2018,7.8229,7.8244,7.816,7.8182,0
1/16/2018,7.8233,7.8251,7.8213,7.8231,0
1/15/2018,7.8242,7.8258,7.8228,7.8235,0
1/12/2018,7.8229,7.8251,7.8222,7.8224,0
1/11/2018,7.8225,7.8255,7.8217,7.8231,0
1/10/2018,7.8206,7.8251,7.82,7.8225,0
1/9/2018,7.8206,7.8239,7.8196,7.8209,0
1/8/2018,7.8191,7.8232,7.8177,7.8208,0
1/5/2018,7.8172,7.8216,7.8164,7.819,0
1/4/2018,7.8165,7.8193,7.8161,7.8169,0
1/3/2018,7.8151,7.8182,7.8148,7.8166,0
1/2/2018,7.8128,7.8197,7.8128,7.8149,0
1/1/2018,7.8129,7.8129,7.8129,7.8129,0
12/29/2017,7.8152,7.8214,7.8122,7.8129,0
12/28/2017,7.8102,7.8175,7.8102,7.8158,0
12/27/2017,7.8114,7.8158,7.8098,7.8106,0
12/26/2017,7.8153,7.816,7.8099,7.8113,0
12/25/2017,7.8178,7.8182,7.8109,7.8167,0
12/22/2017,7.8186,7.8228,7.8128,7.8178,0
12/21/2017,7.8228,7.829,7.8178,7.8187,0
12/20/2017,7.8168,7.8251,7.8159,7.8231,0
12/19/2017,7.8163,7.8217,7.8149,7.816,0
12/18/2017,7.8117,7.8177,7.811,7.816,0
