Date,Open,High,Low,Close,Adj Close,Volume
3/11/2013,29.5,30.299999,29.5,30.299999,25.429468,4710619
3/12/2013,30.200001,30.700001,30.200001,30.4,25.513393,7836437
3/13/2013,30.5,30.5,29.549999,30.35,25.471432,5335988
3/14/2013,30.4,30.4,29.4,29.75,24.967878,6362435
3/15/2013,29.85,29.85,29.200001,29.65,24.883953,12998228
3/18/2013,29.85,29.85,28.4,28.75,24.128618,7743766
3/19/2013,28.25,29.25,28.25,29.200001,24.506285,6644687
3/20/2013,28.85,29.25,28.6,29,24.338436,8144585
3/21/2013,28.549999,29.299999,28.549999,28.950001,24.296473,8605482
3/22/2013,29,29.15,28.4,29.049999,24.380398,7885910
3/25/2013,29.15,29.15,28.65,28.799999,24.170582,3530694
3/26/2013,29.049999,29.4,28.75,29.049999,24.380398,3175000
3/27/2013,28.950001,29.15,28.65,28.75,24.128618,6861853
3/28/2013,28.85,29.049999,28.700001,29,24.338436,5513740
4/2/2013,29,29.85,28.85,29.799999,25.00984,7111832
4/3/2013,30.450001,30.450001,29.9,30.15,25.303579,6249895
4/5/2013,30.15,30.15,28.6,29,24.338436,11421304
4/8/2013,28.700001,29.15,28.4,28.85,24.212545,3720195
4/9/2013,29.1,29.25,28.65,29.1,24.422363,3789539
4/10/2013,29.299999,29.299999,29,29.1,24.422363,4823249
4/11/2013,29.5,29.950001,29.1,29.299999,24.59021,6633953
4/12/2013,29.35,29.85,29.200001,29.65,24.883953,4702537
4/15/2013,29.9,29.9,29.299999,29.35,24.632175,4178568
4/16/2013,29.35,29.700001,28.9,29.25,24.54825,6150730
4/17/2013,29.9,29.9,29.35,29.549999,24.800024,8982895
4/18/2013,29,29.85,29,29.6,24.84199,4981077
4/19/2013,29.4,30.450001,29.35,30.25,25.387506,7152142
4/22/2013,29.9,29.950001,29.5,29.799999,25.490149,2588593
4/23/2013,29.700001,30,29,29.200001,24.976927,4148209
4/24/2013,29.299999,30.15,29.299999,30,25.661226,4323624
4/25/2013,30.4,30.4,29.9,30.299999,25.917839,2144500
4/26/2013,30.049999,30.75,30,30.1,25.746763,4383518
4/29/2013,30.65,30.700001,30.299999,30.549999,26.131683,8011650
4/30/2013,30.85,30.9,30.049999,30.200001,25.8323,5742224
5/2/2013,30.200001,31,30.200001,30.75,26.302753,5169472
5/3/2013,30.75,31,30.15,30.35,25.960606,7260090
5/6/2013,30.75,30.950001,30.4,30.9,26.431063,13711221
5/7/2013,30.65,30.9,30.5,30.75,26.302753,13698904
5/8/2013,30.6,30.700001,30.25,30.35,25.960606,7065606
5/9/2013,30.65,30.65,30.1,30.25,25.875071,2151372
5/10/2013,30.1,30.35,29.65,30,25.661226,10903120
5/13/2013,29.85,30.25,29.6,29.799999,25.490149,26451467
5/14/2013,30.35,30.5,29.950001,30.1,25.746763,4550495
5/15/2013,30.4,30.6,30,30.299999,25.917839,2960970
5/16/2013,30.15,30.35,29.799999,29.9,25.575687,3633669
5/20/2013,29.9,30.9,29.9,30.15,25.789534,3920680
5/21/2013,30.049999,30.549999,30.049999,30.25,25.875071,2251010
5/22/2013,30.200001,30.9,30.1,30.4,26.003374,2616210
5/23/2013,30.049999,30.299999,29.299999,29.35,25.105234,6804885
5/24/2013,29.85,29.950001,29.35,29.700001,25.404613,1795938
5/27/2013,29.700001,30.049999,29.450001,29.6,25.319077,1184949
5/28/2013,29.4,29.799999,29.4,29.6,25.319077,2541105
5/29/2013,29.299999,29.4,28.450001,28.549999,24.420933,6048733
5/30/2013,28.549999,28.6,27.700001,27.799999,23.779398,6929951
5/31/2013,27.799999,27.799999,27.200001,27.299999,23.351715,7118361
6/3/2013,27.25,28.549999,27.25,27.75,23.736635,7447749
6/4/2013,27.5,27.6,27,27.5,23.522793,5575169
6/5/2013,27.25,27.6,26.6,27.450001,23.480022,9948706
