Date,Open,High,Low,Close,Adj Close,Volume
3/11/2013,114.599998,116.199997,114.400002,114.599998,96.909271,5159482
3/12/2013,116.699997,116.699997,114.400002,114.599998,96.909271,6690071
3/13/2013,114,114.199997,110.099998,111.599998,95.161224,8674628
3/14/2013,108.300003,108.5,107,107.900002,92.006248,16572885
3/15/2013,108.300003,109.300003,105.199997,106.199997,90.556648,24338680
3/18/2013,105.300003,105.900002,104.300003,105.199997,89.703949,10319764
3/19/2013,105.099998,107.199997,105.099998,106.300003,90.64193,6050566
3/20/2013,105.300003,107.199997,105.099998,105.599998,90.045029,11169919
3/21/2013,105.5,106.699997,104.599998,105.099998,89.618675,7231073
3/22/2013,104.099998,105.300003,103.699997,103.900002,88.595444,4353126
3/25/2013,105.199997,105.199997,103.300003,104,88.680717,5177429
3/26/2013,102.599998,106.300003,102.199997,105.199997,89.703949,9270334
3/27/2013,105.900002,107.199997,105.599998,105.599998,90.045029,10388515
3/28/2013,105.199997,105.300003,103,104.599998,89.192337,10584889
4/2/2013,104.599998,106.699997,103.099998,106.400002,90.727203,5364100
4/3/2013,106.800003,107.300003,105.199997,105.599998,90.045029,5129306
4/5/2013,105.599998,105.599998,103.099998,103.900002,88.595444,11521211
4/8/2013,103.099998,104.199997,102.5,103.400002,88.169098,8045827
4/9/2013,102.5,104.900002,102.5,104.400002,89.021782,4688238
4/10/2013,104,106.699997,104,106.400002,90.727203,5620787
4/11/2013,107.699997,107.800003,106.099998,106.699997,90.983002,4305524
4/12/2013,106.5,107.900002,106.199997,107.5,91.665154,5804569
4/15/2013,107,107.400002,106.400002,107,91.238823,4024815
4/16/2013,105.599998,109.199997,105.599998,107.900002,92.006248,8327014
4/17/2013,108.900002,109.099998,107.900002,108.099998,92.176788,6388537
4/18/2013,106.400002,109,106.400002,108.099998,92.176788,3719721
4/19/2013,108.099998,111.5,108.099998,110.900002,94.564346,6239762
4/22/2013,111.199997,113.599998,111.099998,113,96.355011,7672789
4/23/2013,113.400002,113.400002,111.800003,112.199997,95.672852,6351636
4/24/2013,112.400002,113.800003,112,113.699997,96.951904,4643644
4/25/2013,114.199997,114.400002,112.699997,114,97.20771,4255712
4/26/2013,114.900002,115,113.400002,113.900002,97.122444,4535452
4/29/2013,114,114.099998,112.199997,112.599998,96.013924,3349549
4/30/2013,112.800003,113.800003,112,112.199997,95.672852,4415833
5/2/2013,112.199997,112.5,108.900002,110,93.796913,7650114
5/3/2013,110,112,109.599998,110.599998,94.308533,3436023
5/6/2013,112.099998,112.400002,111.300003,111.699997,95.246498,2881536
5/7/2013,112.300003,112.400002,111.300003,112,95.502312,3463491
5/8/2013,112.099998,112.300003,111.5,111.900002,95.417038,4243722
5/9/2013,111.5,112.400002,110.599998,111.199997,94.82016,2821744
5/10/2013,112,112.199997,110.800003,111.5,95.075958,2623190
5/13/2013,110.599998,111.5,108.5,109,92.944214,5040404
5/14/2013,110.5,110.800003,109.099998,109.300003,93.200035,3431512
5/15/2013,111,111.699997,109.5,109.699997,93.541107,3627766
5/16/2013,111,111,109.300003,109.800003,93.626373,2260826
5/20/2013,109.800003,112.300003,109.800003,111.599998,95.161224,4127749
5/21/2013,111.800003,112.199997,110.699997,111.900002,95.417038,2653618
5/22/2013,112,113,111.199997,111.900002,95.417038,3209683
5/23/2013,111,112,108,108.199997,92.262054,9946096
5/24/2013,109.199997,109.599998,107.099998,108.599998,92.603142,5051278
5/27/2013,109.099998,109.300003,107.800003,108.199997,92.262054,3513128
5/28/2013,107.599998,109,107.5,108.5,92.517868,3021278
5/29/2013,107.300003,108.099998,105.199997,105.800003,90.215584,8444594
5/30/2013,104.900002,105.099998,102.5,103.199997,87.998558,11289509
5/31/2013,104,104,102.599998,103.199997,87.998558,7063842
6/3/2013,101.800003,103.699997,101.5,102,86.975311,5239949
6/4/2013,102.300003,102.5,101.199997,101.5,86.548981,8039610
6/5/2013,101.5,101.599998,99.900002,100.199997,85.440453,10775720
6/6/2013,99.949997,100.800003,99.800003,99.949997,85.22728,6204962
6/7/2013,99.5,99.949997,99,99.099998,84.502495,5609280
6/10/2013,98.800003,99.400002,98.5,98.699997,84.161415,5634121
6/11/2013,97.5,98.599998,96,96.400002,82.200203,9575779
6/13/2013,96.400002,97.449997,93.050003,96.449997,82.242844,12059572
6/14/2013,97.849998,98.900002,97.150002,97.25,82.925003,8109605
