Date,Open,High,Low,Close,Adj Close,Volume
3/11/2013,10.6,10.86,10.6,10.62,9.283447,9424150
3/12/2013,10.72,10.8,10.52,10.62,9.283447,8243564
3/13/2013,10.58,10.66,10.32,10.38,9.073653,13411615
3/14/2013,10.3,10.34,10.12,10.24,8.95127,15466624
3/15/2013,10.26,10.3,9.96,9.97,8.715251,17912157
3/18/2013,9.8,9.92,9.76,9.83,8.592871,11885364
3/19/2013,9.88,10.18,9.86,9.91,8.662804,7114843
3/20/2013,9.92,10.18,9.92,10.16,8.88134,9529257
3/21/2013,10.18,10.32,10.12,10.14,8.863857,5176954
3/22/2013,10.12,10.16,9.98,10.02,8.75896,5082304
3/25/2013,10.2,10.2,10,10.06,8.793927,3479655
3/26/2013,10.06,10.1,9.93,10,8.741476,6402397
3/27/2013,10.04,10.1,9.97,10,8.741476,4870444
3/28/2013,9.98,10.1,9.94,10.08,8.811407,6878548
4/2/2013,10.08,10.08,9.84,9.93,8.680287,6683554
4/3/2013,9.95,10.02,9.75,9.85,8.610356,6855961
4/5/2013,9.85,9.91,9.41,9.47,8.278178,14978219
4/8/2013,9.44,9.47,9.27,9.42,8.234469,7521611
4/9/2013,9.43,9.73,9.43,9.69,8.470491,5854179
4/10/2013,9.71,9.91,9.65,9.7,8.479232,7785914
4/11/2013,9.77,9.87,9.7,9.7,8.479232,5718562
4/12/2013,9.74,9.82,9.69,9.73,8.505456,3466948
4/15/2013,9.7,9.73,9.44,9.5,8.304401,4903228
4/16/2013,9.48,9.8,9.33,9.57,8.365592,7068050
4/17/2013,9.6,9.63,9.43,9.44,8.251954,4913233
4/18/2013,9.35,9.55,9.35,9.42,8.234469,4118234
4/19/2013,9.42,9.57,9.36,9.53,8.330628,7170000
4/22/2013,9.44,9.53,9.28,9.35,8.173282,10484097
4/23/2013,9.42,9.42,9.23,9.25,8.085866,8677597
4/24/2013,9.34,9.4,9.29,9.35,8.173282,6064247
4/25/2013,9.38,9.68,9.36,9.52,8.321887,9034936
4/26/2013,9.68,9.73,9.5,9.51,8.313146,5648219
4/29/2013,9.6,9.6,9.33,9.34,8.164538,7267332
4/30/2013,9.49,9.5,9.34,9.39,8.208247,8144569
5/2/2013,9.39,9.41,9.31,9.36,8.182022,7707756
5/3/2013,9.38,9.63,9.38,9.51,8.313146,6078836
5/6/2013,9.65,9.75,9.63,9.69,8.470491,9016260
5/7/2013,9.78,9.96,9.7,9.96,8.706511,10768501
5/8/2013,10.06,10.2,9.96,10.1,8.828892,13414570
5/9/2013,10.26,10.26,9.91,10.04,8.776443,15511383
5/10/2013,10.1,10.1,9.96,10.04,8.776443,9450991
5/13/2013,10.08,10.08,9.87,9.9,8.654061,9606113
5/14/2013,9.9,10.06,9.76,9.78,8.549165,10947766
5/15/2013,9.9,9.98,9.78,9.84,8.601613,9539335
5/16/2013,9.95,9.95,9.81,9.84,8.601613,10410619
5/20/2013,9.84,10.22,9.84,10.2,8.916307,16782525
5/21/2013,9.91,9.98,9.76,9.88,8.898293,12068252
5/22/2013,9.83,9.84,9.59,9.7,8.736179,8382663
5/23/2013,9.72,9.73,9.3,9.32,8.393936,20403108
5/24/2013,9.42,9.45,9.24,9.36,8.429962,7610931
5/27/2013,9.3,9.57,9.3,9.42,8.484,11886665
5/28/2013,9.48,9.51,9.32,9.48,8.538038,4874000
5/29/2013,9.51,9.51,9.36,9.41,8.474993,4899421
5/30/2013,9.42,9.42,9.23,9.36,8.429962,7111217
5/31/2013,9.3,9.36,9.07,9.19,8.276854,17645531
6/3/2013,9.05,9.14,8.77,8.78,7.907592,24151326
6/4/2013,8.8,9.03,8.8,8.94,8.051695,10977938
6/5/2013,8.91,9.1,8.81,8.89,8.006663,7959530
6/6/2013,8.85,8.99,8.83,8.86,7.979643,5433116
6/7/2013,8.86,9.05,8.83,8.83,7.952625,9340017
6/10/2013,8.86,8.93,8.84,8.88,7.997656,4882488
6/11/2013,8.82,8.89,8.63,8.64,7.781503,9984437
6/13/2013,8.64,8.64,8.21,8.48,7.637403,13100050
6/14/2013,8.45,8.54,8.34,8.36,7.529325,7007342
6/17/2013,8.42,8.57,8.37,8.51,7.664422,4384373
6/18/2013,8.52,8.57,8.42,8.54,7.691439,4728842
6/19/2013,8.52,8.55,8.35,8.42,7.583364,5605536
6/20/2013,8.3,8.38,8.16,8.17,7.358205,8688734
6/21/2013,8,8.08,8,8.05,7.250127,9949575
6/24/2013,8,8.05,7.92,7.95,7.160064,6581389
6/25/2013,8.04,8.29,7.9,8.25,7.430255,12820390
6/26/2013,8.27,8.38,8.21,8.36,7.529325,8183385
6/27/2013,8.36,8.49,8.26,8.27,7.448267,4767109
6/28/2013,8.29,8.38,8.22,8.32,7.493299,7643345
7/2/2013,8.32,8.32,8.1,8.17,7.358205,7602780
7/3/2013,8.08,8.16,7.91,8.04,7.241121,6368299
7/4/2013,8.08,8.28,8,8.19,7.376216,5564000
7/5/2013,8.22,8.38,8.22,8.31,7.484293,4882480
7/8/2013,8.16,8.3,8.01,8.11,7.304166,5482251
7/9/2013,8.22,8.35,8.12,8.28,7.457273,4551314
7/10/2013,8.38,8.4,8.11,8.23,7.412243,5787955
7/11/2013,8.27,8.63,8.25,8.59,7.736473,9625059
7/12/2013,8.65,8.67,8.56,8.57,7.718459,6315499
7/15/2013,8.61,8.88,8.61,8.75,7.880575,6225813
7/16/2013,8.74,8.78,8.58,8.69,7.826534,4179385
7/17/2013,8.72,8.75,8.56,8.64,7.781503,3651976
7/18/2013,8.62,8.7,8.56,8.63,7.772498,1968000
7/19/2013,8.5,8.74,8.48,8.67,7.808523,7987861
7/22/2013,8.7,8.71,8.57,8.65,7.790509,2034820
7/23/2013,8.61,9.03,8.61,8.98,8.08772,10698259
7/24/2013,8.96,9.07,8.88,8.97,8.078713,5469286
7/25/2013,8.94,8.94,8.79,8.87,7.988651,5121569
7/26/2013,8.83,8.85,8.69,8.74,7.871567,4664200
7/29/2013,8.62,8.76,8.53,8.6,7.745479,3775491
7/30/2013,8.59,8.67,8.49,8.57,7.718459,5414040
7/31/2013,8.6,8.67,8.4,8.42,7.583364,4901361
8/1/2013,8.54,8.62,8.43,8.44,7.601376,3274240
8/2/2013,8.55,8.56,8.46,8.47,7.628396,4283070
8/5/2013,8.54,8.6,8.48,8.49,7.646408,3691635
8/6/2013,8.45,8.55,8.43,8.48,7.637403,3366272
8/7/2013,8.43,8.5,8.26,8.35,7.520319,5146165
8/8/2013,8.42,8.44,8.33,8.39,7.556345,4574000
8/9/2013,8.4,8.71,8.37,8.7,7.835542,8320650
8/12/2013,8.72,9.44,8.72,9.44,8.502013,28002305
8/13/2013,9.44,9.48,9.27,9.35,8.420956,17889328
8/14/2013,9.35,9.35,9.35,9.35,8.420956,0
8/15/2013,9.32,9.65,9.18,9.22,8.303874,26022989
8/16/2013,9.2,9.3,9.1,9.2,8.285859,10761794
8/19/2013,9.07,9.45,9.07,9.33,8.402943,9410343
8/20/2013,9.33,9.52,8.99,9.09,8.18679,13507012
8/21/2013,9.11,9.11,8.86,8.98,8.08772,9527000
8/22/2013,8.92,9.16,8.82,9.1,8.195797,7102791
8/23/2013,9.12,9.2,8.86,8.97,8.078713,6182000
8/26/2013,8.95,9.15,8.95,9.09,8.18679,6944261
8/27/2013,9.06,9.12,8.99,9.03,8.132751,3860730
8/28/2013,8.95,8.98,8.77,8.82,7.943619,7597707
8/29/2013,8.79,8.94,8.78,8.88,7.997656,4880424
8/30/2013,8.89,9.02,8.81,8.97,8.078713,4604838
9/2/2013,9.02,9.15,8.95,9,8.105732,5562040
9/3/2013,9.08,9.3,9.04,9.28,8.357911,9133104
9/4/2013,9.26,9.42,9.2,9.32,8.393936,9204035
9/5/2013,9.48,9.5,9.34,9.44,8.502013,9312465
9/6/2013,9.33,9.42,9.25,9.38,8.538425,7817903
9/9/2013,9.54,9.55,9.4,9.46,8.611247,7905000
9/10/2013,9.52,9.95,9.51,9.92,9.029975,21498857
9/11/2013,9.98,10.06,9.82,9.94,9.048182,15054012
9/12/2013,9.97,10,9.85,9.92,9.029975,8392284
9/13/2013,9.9,9.94,9.73,9.89,9.002666,7141271
9/16/2013,9.93,10,9.84,9.92,9.029975,6155669
9/17/2013,9.92,9.95,9.82,9.92,9.029975,6979544
9/18/2013,9.99,9.99,9.87,9.91,9.020873,4020981
9/19/2013,10,10.12,9.96,10.04,9.139209,10856480
9/23/2013,10.04,10.1,9.99,10.04,9.139209,5666096
9/24/2013,10.08,10.08,9.83,9.95,9.057283,7131320
9/25/2013,9.97,10,9.8,9.85,8.966257,4866596
9/26/2013,9.8,9.91,9.68,9.9,9.011769,4897689
9/27/2013,9.95,9.96,9.84,9.93,9.039079,7043870
9/30/2013,9.95,10.16,9.87,10.06,9.157414,10595185
10/2/2013,10.06,10.12,9.95,10.02,9.121003,9821848
10/3/2013,10.02,10.22,10,10.2,9.284853,7940422
10/4/2013,10.16,11.16,10.12,11.14,10.140517,42069234
10/7/2013,11.2,11.62,10.9,11.18,10.176928,29847865
10/8/2013,11.12,11.36,10.96,11.26,10.249749,11825619
10/9/2013,11.1,11.2,10.94,11.06,10.067695,13322995
10/10/2013,11,11.18,10.98,11.1,10.104106,6775543
10/11/2013,11.22,11.32,11.06,11.1,10.104106,6322083
10/15/2013,11.1,11.18,10.94,11.04,10.049488,8417293
10/16/2013,11,11.02,10.86,10.9,9.922049,9663520
10/17/2013,11,11.1,10.82,10.86,9.885638,7650569
10/18/2013,10.88,11.06,10.88,11.02,10.031284,5319909
10/21/2013,11.08,11.14,11,11.06,10.067695,3832364
10/22/2013,11.02,11.06,10.96,11,10.013079,3306426
10/23/2013,11.1,11.14,10.84,10.88,9.903845,5204340
10/24/2013,10.88,10.88,10.7,10.76,9.79461,4960270
10/25/2013,10.74,10.86,10.28,10.38,9.448705,9607302
10/28/2013,10.58,10.64,10.42,10.56,9.612555,3422582
10/29/2013,10.56,10.74,10.54,10.64,9.685379,4401744
10/30/2013,10.66,10.94,10.66,10.92,9.940254,5361300
10/31/2013,10.94,11.06,10.8,11.04,10.049488,7758165
11/1/2013,11,11,10.66,10.7,9.739994,8833005
11/4/2013,10.78,10.98,10.76,10.9,9.922049,13041430
11/5/2013,10.88,10.9,10.68,10.8,9.831022,6702492
11/6/2013,10.72,10.86,10.72,10.8,9.831022,4894847
11/7/2013,10.8,10.86,10.62,10.72,9.7582,4874254
11/8/2013,10.62,10.94,10.62,10.86,9.885638,6873048
11/11/2013,10.8,10.94,10.72,10.88,9.903845,4921231
11/12/2013,10.86,10.9,10.78,10.82,9.849226,3725693
11/13/2013,10.76,10.84,10.46,10.58,9.63076,5396246
11/14/2013,10.58,10.64,10.48,10.54,9.594349,5836097
11/15/2013,10.5,10.76,10.5,10.64,9.685379,4771864
11/18/2013,10.66,11.08,10.64,11.06,10.067695,12425000
11/19/2013,11,11.06,10.84,10.96,9.976666,4723842
11/20/2013,10.98,11.06,10.9,11.06,10.067695,4930971
11/21/2013,11.18,11.46,11.1,11.28,10.267957,14119929
11/22/2013,11.42,11.42,11.16,11.2,10.195133,5305225
11/25/2013,11.3,11.3,10.96,11.04,10.049488,4942564
11/26/2013,10.94,11.1,10.94,11.04,10.049488,5240043
11/27/2013,11.04,11.22,10.98,11.14,10.140517,4762943
11/28/2013,11.16,11.3,11.06,11.08,10.0859,7711294
11/29/2013,11.12,11.2,11.04,11.18,10.176928,3893000
12/2/2013,11.2,12.14,11.08,11.96,10.886946,38037148
12/3/2013,12.02,12.26,11.9,12.08,10.99618,26567588
12/4/2013,11.96,12.26,11.84,12.24,11.141825,17575182
12/5/2013,12.1,12.24,12.06,12.18,11.08721,9994554
12/6/2013,12.1,12.12,11.92,12.04,10.95977,8674745
12/9/2013,12.08,12.22,12.04,12.22,11.123619,9496324
12/10/2013,12.2,12.28,12.14,12.22,11.123619,5557240
12/11/2013,12.24,12.26,11.72,11.86,10.795918,10307978
12/12/2013,11.8,11.9,11.56,11.74,10.686685,6155833
12/13/2013,11.58,11.98,11.56,11.9,10.832331,5168127
12/16/2013,11.86,11.86,11.66,11.7,10.650274,4721613
12/17/2013,11.72,11.96,11.7,11.8,10.741302,5130914
12/18/2013,11.8,12,11.78,11.9,10.832331,3189151
12/19/2013,12.1,12.12,11.8,11.88,10.814125,8930577
12/20/2013,11.82,11.92,11.72,11.88,10.814125,8624420
12/23/2013,11.9,12,11.74,11.78,10.723098,5107390
12/24/2013,11.86,11.88,11.74,11.8,10.741302,3302430
12/27/2013,11.8,12.06,11.8,11.88,10.814125,8666254
12/30/2013,11.94,11.94,11.8,11.84,10.777714,6657946
12/31/2013,11.84,11.92,11.8,11.86,10.795918,3606882
1/2/2014,11.86,11.9,11.56,11.64,10.595658,11004046
1/3/2014,11.5,11.52,11.18,11.3,10.28616,11851895
1/6/2014,11.16,11.18,10.7,11,10.013079,11094838
1/7/2014,10.84,11.02,10.58,10.78,9.812816,11840475
1/8/2014,10.7,10.86,10.5,10.68,9.721789,18556302
1/9/2014,10.5,10.68,10.26,10.36,9.430499,15806161
1/10/2014,10.1,10.5,10.1,10.32,9.394088,8286432
1/13/2014,10.36,10.48,10.1,10.2,9.284853,7557481
1/14/2014,10.08,10.16,10.04,10.14,9.230237,6719353
1/15/2014,10.12,10.34,10.1,10.18,9.266648,9682167
1/16/2014,10.2,10.24,10.12,10.14,9.230237,7829154
1/17/2014,10.1,10.34,10.04,10.22,9.303059,6502652
1/20/2014,10.2,10.2,9.97,10.06,9.157414,9015605
1/21/2014,10.1,10.16,10.02,10.12,9.21203,5916800
1/22/2014,10.12,10.34,10.04,10.16,9.248442,6142640
1/23/2014,10.2,10.22,9.99,10.02,9.121003,6693484
1/24/2014,10.02,10.06,9.83,9.85,8.966257,8229019
1/27/2014,9.55,9.8,9.45,9.68,8.811509,10464758
1/28/2014,9.7,9.77,9.59,9.77,8.893434,6923035
1/29/2014,9.76,9.87,9.72,9.81,8.929845,5707062
1/30/2014,9.71,9.75,9.6,9.7,8.829714,3756282
2/4/2014,9.7,9.7,9.35,9.36,8.520219,12090979
2/5/2014,9.4,9.51,9.35,9.42,8.574835,6748806
2/6/2014,9.42,9.52,9.37,9.5,8.647657,6903948
2/7/2014,9.45,9.72,9.44,9.61,8.747787,5914825
2/10/2014,9.61,9.61,9.4,9.59,8.729583,5290423
2/11/2014,9.52,9.89,9.52,9.64,8.775097,6505500
2/12/2014,9.6,9.75,9.6,9.66,8.793303,7143402
2/13/2014,9.67,10.28,9.63,10.18,9.266648,17119469
2/14/2014,10.2,10.42,9.93,10.04,9.139209,10903475
2/17/2014,10.18,10.36,10.16,10.24,9.321264,7068879
2/18/2014,10.24,10.4,10.18,10.34,9.412293,5249859
2/19/2014,10.3,10.64,10.24,10.6,9.648966,14957839
2/20/2014,10.5,10.86,10.3,10.7,9.739994,27519515
2/21/2014,10.74,11.06,10.68,10.9,9.922049,23325688
2/24/2014,10.9,10.98,10.74,10.92,9.940254,17950892
2/25/2014,10.98,11.3,10.86,11.14,10.140517,24952904
2/26/2014,11.1,11.28,11.08,11.16,10.158722,16026866
2/27/2014,11.32,11.66,11.32,11.6,10.559246,20839113
2/28/2014,11.5,11.68,11.12,11.18,10.176928,17577452
3/3/2014,10.78,11.1,10.76,10.98,9.994871,17012878
3/4/2014,10.98,11.1,10.7,10.94,9.95846,7025454
3/5/2014,11.1,11.12,10.84,10.88,9.903845,4418195
3/6/2014,10.9,11.3,10.88,11.12,10.122311,8393038
3/7/2014,11.18,11.24,11,11.14,10.140517,6754615
3/10/2014,10.96,11.16,10.6,10.92,9.940254,9198118
3/11/2014,10.88,11,10.84,10.98,9.994871,8689427
3/12/2014,11,11,10.66,10.92,9.940254,8506958
3/13/2014,10.9,11.22,10.84,11.14,10.140517,11370766
3/14/2014,10.98,11.72,10.92,11.68,10.632068,24239372
3/17/2014,11.56,12.06,11.56,11.96,10.886946,20992691
3/18/2014,11.98,11.98,11.72,11.9,10.832331,9088095
3/19/2014,11.9,11.98,11.84,11.94,10.86874,5017303
3/20/2014,11.9,12.28,11.86,12.1,11.014385,20062100
3/21/2014,12.02,12.2,11.96,12.08,10.99618,16272282
3/24/2014,12.1,12.72,12.06,12.66,11.524142,14918685
3/25/2014,12.66,12.66,12.66,12.66,11.524142,0
3/26/2014,12.66,12.66,12.66,12.66,11.524142,0
3/27/2014,15.2,16.540001,13.98,14.3,13.017001,175620272
3/28/2014,14.3,14.44,13.56,13.62,12.39801,65726906
3/31/2014,13.68,13.96,13.52,13.76,12.52545,24981682
4/1/2014,13.74,13.82,13.34,13.78,12.543656,29461848
4/2/2014,13.76,14.28,13.76,14.14,12.871357,26084619
4/3/2014,14.2,14.36,14.14,14.3,13.017001,17343829
4/4/2014,14.24,14.38,14.08,14.16,12.889562,12818970
4/7/2014,14,14.12,13.88,13.92,12.671094,11795442
4/8/2014,13.9,14.2,13.84,14.18,12.907769,8872258
4/9/2014,14.2,14.26,14.08,14.2,12.925972,10104853
4/10/2014,14.28,14.82,14.1,14.42,13.126235,21708904
4/11/2014,14.3,14.38,14.12,14.24,12.962384,10549558
4/14/2014,14.28,14.58,14.08,14.52,13.217262,15893570
4/15/2014,14.42,14.76,14.42,14.54,13.235468,20922275
4/16/2014,14.52,14.64,14.26,14.26,12.98059,13887166
4/17/2014,14.08,14.08,13.68,13.86,12.616478,33206368
4/22/2014,13.86,13.98,13.52,13.92,12.671094,13126992
4/23/2014,14,14.08,13.76,13.86,12.616478,7484243
4/24/2014,13.86,13.96,13.78,13.84,12.598272,3175111
4/25/2014,13.84,14,13.64,13.9,12.652889,13969298
4/28/2014,13.82,13.88,13.62,13.68,12.452629,8700119
4/29/2014,13.78,13.78,13.6,13.72,12.489038,4966216
4/30/2014,13.74,13.78,13.56,13.6,12.379805,7229740
5/2/2014,13.6,13.64,13.42,13.5,12.288776,9584480
5/5/2014,13.5,13.68,13.4,13.56,12.343394,4933767
5/7/2014,13.56,13.58,13.44,13.54,12.325189,5361280
5/8/2014,13.54,13.56,13.46,13.48,12.270572,4607738
5/9/2014,13.44,13.52,13.4,13.46,12.252365,3432088
5/12/2014,13.46,13.84,13.46,13.6,12.379805,9838141
5/13/2014,13.62,13.76,13.58,13.72,12.489038,7971655
5/14/2014,13.68,14.04,13.62,13.9,12.652889,13569326
5/15/2014,14.1,14.1,13.86,14,12.743917,18048687
5/16/2014,13.84,13.84,13.6,13.78,12.771722,8340000
5/19/2014,13.82,13.86,13.58,13.68,12.679039,7980589
5/20/2014,13.7,13.78,13.56,13.58,12.586356,5168971
5/21/2014,13.64,13.68,13.5,13.6,12.604893,5413655
5/22/2014,13.6,13.78,13.5,13.5,12.512209,5471970
5/23/2014,13.56,13.58,13.42,13.54,12.549282,9346285
5/26/2014,13.56,13.58,13.4,13.5,12.512209,12243000
5/27/2014,13.52,13.52,13.4,13.48,12.493672,6993000
5/28/2014,13.5,13.58,13.42,13.56,12.56782,11384858
5/29/2014,13.56,13.58,13.46,13.46,12.475136,6623860
5/30/2014,13.5,13.6,13.38,13.54,12.549282,13678821
6/3/2014,13.54,13.62,13.46,13.52,12.530746,11237797
6/4/2014,13.56,13.56,13.44,13.48,12.493672,7536566
6/5/2014,13.48,13.54,13.4,13.52,12.530746,14366613
6/6/2014,13.56,13.58,13.36,13.42,12.438064,11047571
6/9/2014,13.46,13.5,13.4,13.48,12.493672,8682764
6/10/2014,13.48,13.5,13.42,13.46,12.475136,8328908
6/11/2014,13.46,13.48,13.2,13.4,12.419527,10135470
6/12/2014,13.46,13.46,13.34,13.36,12.382453,4861033
6/13/2014,13.34,13.4,13.28,13.34,12.363917,8411343
6/16/2014,13.34,13.4,13.2,13.24,12.271235,6387258
6/17/2014,13.26,13.34,13.22,13.26,12.28977,5692915
6/18/2014,13.38,13.52,13.32,13.4,12.419527,18785547
6/19/2014,13.4,13.52,13.32,13.36,12.382453,8586415
6/20/2014,13.46,13.5,13.4,13.44,12.456598,6257904
6/23/2014,13.44,13.5,13.3,13.34,12.363917,5129535
6/24/2014,13.34,13.42,13.26,13.4,12.419527,4764415
6/25/2014,13.4,13.54,13.38,13.48,12.493672,8896952
6/26/2014,13.48,13.56,13.44,13.56,12.56782,5433150
6/27/2014,13.54,13.56,13.46,13.52,12.530746,2689700
6/30/2014,13.52,13.6,13.46,13.58,12.586356,6589948
7/2/2014,13.58,13.62,13.48,13.6,12.604893,8189700
7/3/2014,13.6,13.6,13.52,13.56,12.56782,5181158
7/4/2014,13.6,13.6,13.48,13.52,12.530746,4948766
7/7/2014,13.52,14.08,13.48,13.96,12.938552,26548473
7/8/2014,14.06,14.06,13.8,13.92,12.901478,9108284
7/9/2014,13.84,14,13.82,13.92,12.901478,7332927
7/10/2014,13.98,14,13.86,13.88,12.864406,4542778
7/11/2014,13.88,13.9,13.78,13.8,12.79026,5431585
7/14/2014,13.8,13.88,13.66,13.78,12.771722,5444000
7/15/2014,13.84,14.36,13.76,14.24,13.198063,36997768
7/16/2014,14.3,14.88,14.16,14.72,13.642942,39292081
7/17/2014,14.8,14.8,14.36,14.54,13.476112,19554600
7/18/2014,14.4,14.64,14.34,14.52,13.457577,15289218
7/21/2014,14.5,14.64,14.44,14.5,13.43904,8384800
7/22/2014,14.52,14.9,14.52,14.78,13.69855,25504160
7/23/2014,14.88,14.9,14.62,14.72,13.642942,14630879
7/24/2014,14.8,14.88,14.7,14.74,13.661479,14998170
7/25/2014,14.74,14.86,14.58,14.7,13.624405,10324288
