Date,Open,High,Low,Close,Adj Close,Volume
3/11/2013,67.349998,67.349998,66.900002,67,54.37505,4429885
3/12/2013,67.099998,67.199997,66.75,66.800003,54.212742,3761460
3/13/2013,67,67,65.900002,66.300003,53.80695,6220113
3/14/2013,66.050003,66.599998,65.949997,66.599998,54.05043,6158980
3/15/2013,66.900002,67,66.199997,66.550003,54.009846,6958667
3/18/2013,66.349998,66.599998,66,66.150002,53.685215,5457744
3/19/2013,66.5,67,66.199997,66.75,54.172161,4373193
3/20/2013,66.800003,66.900002,66.5,66.849998,54.253323,5627638
3/21/2013,67,67.400002,66.75,67.349998,54.659096,3873735
3/22/2013,67,67.5,67,67.349998,54.659096,3465738
3/25/2013,67.5,67.650002,67.300003,67.599998,54.861992,3253181
3/26/2013,67.599998,67.699997,67.25,67.650002,54.902569,2390514
3/27/2013,67.5,67.800003,67.449997,67.699997,54.943157,2270511
3/28/2013,68,68.150002,67.5,68,55.186615,4961564
4/2/2013,68,68.449997,67.949997,68.449997,55.551815,2889238
4/3/2013,68.800003,68.849998,68.400002,68.800003,55.835869,3198099
4/5/2013,68.800003,69.400002,66.900002,66.949997,54.334476,5148738
4/8/2013,67.300003,67.300003,66.800003,67.099998,54.456207,2331626
4/9/2013,67.75,67.849998,67.400002,67.550003,54.821411,1734209
4/10/2013,67.349998,68.050003,67.099998,68,55.186615,2245050
4/11/2013,68.150002,68.199997,67.599998,67.800003,55.024307,1606004
4/12/2013,68.050003,68.099998,67.75,67.949997,55.146038,1694307
4/15/2013,67.949997,68.150002,67.050003,67.099998,54.456207,2018547
4/16/2013,67.099998,67.75,66.75,67.5,54.780834,2912862
4/17/2013,67.900002,67.900002,66.900002,67.099998,54.456207,2302918
4/18/2013,66.900002,67.400002,66.800003,67.050003,54.415623,2462441
4/19/2013,67.300003,67.300003,66.75,67.050003,54.415623,2459970
4/22/2013,66.900002,67.699997,66.900002,67.5,54.780834,1854733
4/23/2013,67.800003,67.800003,67.099998,67.300003,54.618519,1473461
4/24/2013,67.699997,67.699997,67.199997,67.300003,54.618519,2338800
4/25/2013,67.449997,67.800003,67.300003,67.800003,55.024307,2091139
4/26/2013,67.949997,68.199997,67.75,68.150002,55.308372,2842383
4/29/2013,68.25,68.349998,67.900002,68.199997,55.348919,1809908
4/30/2013,68.400002,68.599998,68,68.400002,55.51125,2840606
5/2/2013,68.400002,68.449997,67.650002,68.449997,55.551815,1867842
5/3/2013,68.699997,68.949997,68.300003,68.599998,55.67355,1427022
5/6/2013,68.900002,68.900002,68.349998,68.599998,55.67355,1363858
5/7/2013,68.800003,68.800003,68,68.5,55.592415,2638062
5/8/2013,68.800003,68.800003,68.199997,68.650002,55.714123,1516569
5/9/2013,68.300003,68.800003,68.25,68.800003,55.835869,1182318
5/10/2013,68.699997,68.900002,68.449997,68.900002,55.917038,2183068
5/13/2013,68.550003,68.949997,68.199997,68.349998,55.470665,1973208
5/14/2013,68.800003,69.199997,68.5,68.699997,55.754711,2447033
5/15/2013,69,69,68.5,68.800003,55.835869,1445387
5/16/2013,68.5,69.099998,68.099998,68.5,55.592415,1775265
5/20/2013,68.5,69.199997,68.5,69.050003,56.038765,2402554
5/21/2013,68.650002,69.599998,68.650002,69.550003,56.44455,3583105
5/22/2013,69.5,69.849998,68.949997,69.25,56.20108,2748636
5/23/2013,69,69.349998,68.099998,68.199997,55.348919,5860857
5/24/2013,68.199997,69.400002,68.150002,69.300003,56.241657,3728916
5/27/2013,69.199997,69.599998,68.800003,69.5,56.403976,1444574
5/28/2013,69.800003,69.900002,69.349998,69.849998,56.688023,1760795
5/29/2013,69.25,69.650002,69.150002,69.199997,56.160503,3277041
5/30/2013,68.599998,68.800003,66.800003,66.949997,54.334476,11727257
5/31/2013,66.800003,66.900002,65.349998,65.550003,53.622776,8675542
6/3/2013,65,66.099998,65,65.599998,53.663681,4372148
6/4/2013,65.5,65.550003,65,65.5,53.581863,3444800
6/5/2013,65.050003,65.349998,64.050003,64.449997,52.722931,6750988
6/6/2013,64.699997,64.699997,64,64.050003,52.39571,5031837
6/7/2013,64.099998,64.550003,63.549999,63.700001,52.10939,5114967
6/10/2013,63.599998,63.900002,63.049999,63.549999,51.986683,4127283
6/11/2013,63.150002,63.950001,63.049999,63.099998,51.618568,4581477
6/13/2013,63.099998,64.449997,62.599998,62.650002,51.250443,6267845
6/14/2013,62.799999,63.200001,62.650002,63,51.536766,2970379
6/17/2013,63,63.950001,63,63.599998,52.02758,2161665
6/18/2013,63,63.5,62.799999,63.450001,51.904877,3832850
