Date,Open,High,Low,Close,Adj Close,Volume
3/11/2013,15,15.12,14.68,14.84,11.931174,55832716
3/12/2013,14.76,14.98,14.62,14.66,11.786458,49192864
3/13/2013,14.64,14.72,14.42,14.44,11.609578,53208831
3/14/2013,14.5,14.7,14.38,14.52,11.673899,64373996
3/15/2013,14.46,14.76,14.4,14.66,11.786458,136949278
3/18/2013,14.56,14.56,14.34,14.46,11.625659,88693982
3/19/2013,14.54,14.6,14.22,14.28,11.480939,74339217
3/20/2013,14.28,14.48,14.24,14.44,11.609578,43901955
3/21/2013,14.58,14.58,14.36,14.44,11.609578,57546618
3/22/2013,14.4,14.42,14.12,14.32,11.513102,52048263
3/25/2013,14.7,15.14,14.7,14.92,11.995493,137979059
3/26/2013,15.14,15.14,14.8,15.06,12.108051,76559469
3/27/2013,15.18,15.28,14.94,15.1,12.140211,52017958
3/28/2013,14.92,15,14.82,14.92,11.995493,50786496
4/2/2013,14.92,15.14,14.88,15.08,12.124131,57590755
4/3/2013,15.14,15.14,14.86,14.94,12.011573,31282078
4/5/2013,14.94,14.94,14.24,14.36,11.545259,78299260
4/8/2013,14.24,14.3,14.14,14.22,11.432701,40975753
4/9/2013,14.24,14.46,14.14,14.36,11.545259,37021649
4/10/2013,14.4,14.42,14.1,14.26,11.464861,71468151
4/11/2013,14.34,14.56,14.24,14.26,11.464861,37486718
4/12/2013,14.24,14.32,14.08,14.18,11.400543,43425532
4/15/2013,14,14.02,13.54,13.74,11.046788,90768832
4/16/2013,13.42,13.62,13.3,13.48,10.83775,79927713
4/17/2013,13.74,13.84,13.42,13.44,10.80559,100356187
4/18/2013,13.6,13.6,13.32,13.4,10.773432,47857566
4/19/2013,13.36,13.84,13.36,13.8,11.095027,57906103
4/22/2013,13.8,13.96,13.76,13.86,11.143267,61902404
4/23/2013,13.86,13.88,13.74,13.78,11.078947,48737007
4/24/2013,14,14.16,13.94,14.04,11.287984,55171125
4/25/2013,14.26,14.46,14.22,14.44,11.609578,69678539
4/26/2013,14.48,14.58,14.22,14.4,11.577418,74061710
4/29/2013,14.28,14.46,14.24,14.34,11.52918,36977137
4/30/2013,14.6,14.6,14.3,14.48,11.641738,66687176
5/2/2013,14.48,14.48,14.1,14.16,11.384462,60505768
5/3/2013,14.2,14.34,14.12,14.18,11.400543,37187593
5/6/2013,14.48,14.52,14.32,14.38,11.561339,49023217
5/7/2013,14.5,14.62,14.36,14.58,11.722137,53641101
5/8/2013,14.72,14.8,14.7,14.78,11.882934,44821295
5/9/2013,14.8,14.8,14.48,14.7,11.818616,59618573
5/10/2013,14.72,14.78,14.6,14.76,11.866856,33799439
5/13/2013,14.64,14.64,14.32,14.4,11.577418,53366771
5/14/2013,14.5,14.56,14.22,14.32,11.513102,51132317
5/15/2013,14.5,14.54,14.36,14.44,11.609578,57866243
5/16/2013,14.16,14.38,14.06,14.24,11.448781,72173494
5/20/2013,14.24,14.62,14.24,14.48,11.641738,42992785
5/21/2013,14.54,14.54,14.36,14.42,11.593499,36336848
5/22/2013,14.44,14.62,14.32,14.42,11.593499,45383243
5/23/2013,14.46,14.58,13.92,14.06,11.304063,82194939
5/24/2013,13.98,14.14,13.88,13.92,11.191504,56921110
5/27/2013,13.84,14.02,13.82,13.94,11.207585,35010854
5/28/2013,13.98,14.22,13.94,14.18,11.400543,36842456
5/29/2013,14.18,14.18,13.92,13.94,11.207585,51657006
5/30/2013,13.8,13.94,13.64,13.76,11.322789,44772920
5/31/2013,13.72,13.9,13.62,13.72,11.289872,65446070
6/3/2013,13.84,14.02,13.72,13.74,11.306331,63515385
6/4/2013,13.92,13.92,13.62,13.78,11.339245,40536174
6/5/2013,13.8,13.84,13.66,13.76,11.322789,39716398
6/6/2013,13.46,13.56,13.4,13.44,11.059467,54187518
6/7/2013,13.54,13.62,13.32,13.42,11.043011,41246229
6/10/2013,13.46,13.58,13.26,13.48,11.092382,42903132
6/11/2013,13.48,13.48,13.18,13.22,10.878434,43902084
6/13/2013,13.22,13.24,12.66,12.9,10.615113,79288045
6/14/2013,13.04,13.26,13,13.04,10.730315,71262437
6/17/2013,13.18,13.7,13.18,13.58,11.17467,79976424
6/18/2013,13.44,13.68,13.42,13.62,11.207586,61486137
6/19/2013,13.48,13.78,13.48,13.6,11.191128,75001270
6/20/2013,13.4,13.42,12.92,13,10.6974,99683745
6/21/2013,12.7,12.88,12.5,12.72,10.466996,107264615
6/24/2013,12.6,12.72,12.3,12.34,10.154303,58486930
6/25/2013,12.44,12.52,12.04,12.28,10.104929,60238571
6/26/2013,12.62,12.62,12.26,12.52,10.302421,60599928
6/27/2013,12.84,12.94,12.68,12.78,10.516369,57392662
6/28/2013,12.84,13.2,12.7,13.16,10.829063,63047748
7/2/2013,13.16,13.56,12.92,12.94,10.648029,63744339
7/3/2013,12.7,12.8,12.5,12.54,10.318879,62639169
7/4/2013,12.66,13.08,12.64,12.8,10.532825,46222572
7/5/2013,13,13.16,12.94,13.08,10.763231,34773848
7/8/2013,12.82,13.32,12.7,13.14,10.812605,61421640
7/9/2013,13.04,13.18,12.96,13.16,10.829063,34662194
7/10/2013,13.18,13.32,12.82,13.1,10.779691,50487074
7/11/2013,13.24,13.8,13.24,13.64,11.224042,75842821
7/12/2013,13.7,13.76,13.54,13.7,11.273415,57432619
7/15/2013,13.58,13.74,13.5,13.62,11.207586,40988883
7/16/2013,13.7,13.8,13.6,13.72,11.289872,50605672
7/17/2013,13.76,13.82,13.44,13.78,11.339245,37980328
7/18/2013,13.96,13.96,13.66,13.82,11.372162,36428973
7/19/2013,13.98,13.98,13.7,13.86,11.405076,38178431
7/22/2013,14,14,13.74,13.92,11.454447,20501695
7/23/2013,14,14.3,13.94,14.28,11.750684,72785750
7/24/2013,14.2,14.38,14.1,14.3,11.767141,58464084
7/25/2013,14.16,14.3,14.12,14.2,11.684854,26182684
7/26/2013,14.1,14.36,14.1,14.28,11.750684,26521796
7/29/2013,14.2,14.22,13.92,14.06,11.569652,31585117
7/30/2013,14.06,14.14,13.94,14.12,11.619023,33327479
7/31/2013,13.94,14.1,13.9,14,11.520278,37221691
8/1/2013,14.06,14.26,14.06,14.16,11.651938,31267353
8/2/2013,14.24,14.32,14.18,14.22,11.701311,28310757
8/5/2013,14.28,14.3,14.06,14.2,11.684854,21945788
8/6/2013,14.24,14.24,13.74,14.02,11.536736,32970848
8/7/2013,13.82,14.04,13.82,13.88,11.421534,36770989
8/8/2013,13.88,14.02,13.82,13.88,11.421534,27277874
8/9/2013,13.88,14.06,13.88,14,11.520278,31833459
8/12/2013,13.98,14.48,13.96,14.36,11.816513,84906716
8/13/2013,14.48,14.58,14.34,14.56,11.981091,52389053
8/14/2013,14.56,14.56,14.56,14.56,11.981091,0
8/15/2013,14.46,14.74,14.46,14.68,12.079834,74854779
8/16/2013,14.7,14.98,14.56,14.78,12.162122,86560596
8/19/2013,14.92,15.14,14.78,15.08,12.408986,101373147
8/20/2013,15.18,15.18,14.76,14.82,12.195038,66151432
8/21/2013,15.44,15.7,15.34,15.54,12.78751,191917015
8/22/2013,15.42,15.7,15.32,15.5,12.754595,117389571
8/23/2013,15.58,15.64,15.48,15.62,12.853338,97391045
8/26/2013,15.64,15.8,15.62,15.64,12.869798,70628570
8/27/2013,15.5,15.56,15.24,15.46,12.72168,53906174
8/28/2013,15.22,15.78,15.16,15.56,12.803967,119970080
8/29/2013,15.8,15.9,15.42,15.52,12.771052,80094124
8/30/2013,15.32,15.56,15.24,15.4,12.672307,69712602
9/2/2013,15.6,15.96,15.58,15.88,13.067288,82783903
9/3/2013,15.98,15.98,15.86,15.94,13.116659,39289824
9/4/2013,15.86,16,15.7,15.94,13.116659,38173912
9/5/2013,16,16,15.82,15.86,13.258778,50144540
9/6/2013,15.86,16,15.76,15.94,13.325659,52522761
9/9/2013,16,16.219999,15.9,16.200001,13.543015,58822716
9/10/2013,16.299999,16.379999,16.08,16.280001,13.609896,63060727
9/11/2013,16.379999,16.4,15.94,16.219999,13.559734,65033167
9/12/2013,16.219999,16.280001,16,16.059999,13.425975,49915109
9/13/2013,16.200001,16.200001,16.040001,16.08,13.442696,60923791
9/16/2013,16.280001,16.299999,16.139999,16.200001,13.543015,41303289
9/17/2013,16.360001,16.360001,15.88,16.040001,13.409258,59624122
9/18/2013,16.02,16.02,15.8,15.98,13.359097,40202030
9/19/2013,16.4,16.48,16.040001,16.08,13.442696,61066127
9/23/2013,16.08,16.299999,15.7,16.040001,13.409258,49295913
9/24/2013,16.08,16.08,15.72,15.8,13.208619,46711023
9/25/2013,15.82,15.9,15.68,15.8,13.208619,35480004
9/26/2013,15.96,15.96,15.72,15.74,13.15846,31763136
9/27/2013,15.76,16.1,15.76,15.98,13.359097,59652361
9/30/2013,15.88,15.98,15.76,15.78,13.191898,64610647
10/2/2013,15.78,15.84,15.6,15.64,13.074862,46574694
10/3/2013,15.88,16,15.84,15.98,13.359097,29162457
10/4/2013,15.98,16.059999,15.8,16.02,13.392537,27234449
10/7/2013,16.059999,16.059999,15.76,15.84,13.242058,24210043
10/8/2013,15.88,16.120001,15.72,16.1,13.459416,36464333
10/9/2013,15.96,15.96,15.7,15.74,13.15846,59891759
10/10/2013,15.6,15.68,15.3,15.54,12.991261,63581088
10/11/2013,15.84,15.88,15.74,15.84,13.242058,50903640
10/15/2013,15.84,16.120001,15.84,15.96,13.342376,45361115
10/16/2013,16,16.040001,15.92,16,13.375817,33254247
10/17/2013,16,16.1,15.94,15.98,13.359097,41178696
10/18/2013,16,16.08,15.94,16.059999,13.425975,44830377
10/21/2013,16,16.1,15.84,15.98,13.359097,35026677
10/22/2013,15.74,15.94,15.72,15.88,13.275497,42483794
10/23/2013,15.84,15.88,15.38,15.4,12.874224,91120924
10/24/2013,15.4,15.4,15.12,15.28,12.773905,56526280
10/25/2013,15.1,15.2,14.98,15.08,12.606707,54074504
10/28/2013,15.18,15.34,15.14,15.28,12.773905,32727403
10/29/2013,15.3,15.56,15.3,15.38,12.857504,40313543
10/30/2013,15.6,15.82,15.5,15.78,13.191898,51167731
10/31/2013,15.76,16,15.66,15.92,13.308938,55367414
11/1/2013,15.84,15.88,15.7,15.78,13.191898,47715269
11/4/2013,15.66,15.68,15.46,15.52,12.974543,51298946
11/5/2013,15.7,15.7,15.3,15.44,12.907663,33221476
11/6/2013,15.36,15.58,15.28,15.5,12.957822,41759249
11/7/2013,15.42,15.5,15.3,15.44,12.907663,37213028
11/8/2013,15.14,15.32,15.14,15.28,12.773905,41998169
11/11/2013,15.28,15.52,15.2,15.5,12.957822,53889318
11/12/2013,15.5,15.52,15.22,15.26,12.757184,39845939
11/13/2013,15.08,15.12,14.84,14.86,12.42279,62975011
11/14/2013,14.92,15.04,14.82,14.98,12.523108,42798873
11/15/2013,15.06,15.34,15.04,15.28,12.773905,51732840
11/18/2013,15.58,15.86,15.52,15.82,13.22534,82583621
11/19/2013,15.88,16.040001,15.7,15.86,13.258778,71285613
11/20/2013,15.86,15.96,15.64,15.76,13.17518,60622281
11/21/2013,15.6,15.76,15.58,15.66,13.09158,37339076
11/22/2013,15.72,15.98,15.66,15.7,13.125021,46153846
11/25/2013,15.8,15.8,15.52,15.7,13.125021,44274204
11/26/2013,15.66,15.78,15.58,15.58,13.024702,47273146
11/27/2013,15.58,15.72,15.44,15.58,13.024702,58656972
11/28/2013,15.64,15.84,15.62,15.7,13.125021,32355854
11/29/2013,15.8,15.92,15.7,15.88,13.275497,37891459
12/2/2013,16.059999,16.059999,15.76,15.98,13.359097,51026145
12/3/2013,15.84,16.02,15.78,15.96,13.342376,77073702
12/4/2013,15.82,15.9,15.72,15.76,13.17518,44981644
12/5/2013,15.62,15.82,15.6,15.76,13.17518,36375783
12/6/2013,15.56,15.76,15.56,15.58,13.024702,48457767
12/9/2013,15.68,15.76,15.5,15.56,13.007982,38056001
12/10/2013,15.38,15.76,15.38,15.68,13.108301,42196556
12/11/2013,15.64,15.72,15.3,15.44,12.907663,54393953
12/12/2013,15.2,15.3,15.14,15.2,12.707026,64564942
12/13/2013,15.1,15.22,15.02,15.08,12.606707,59327561
12/16/2013,14.9,15.08,14.58,14.7,12.289031,98515176
12/17/2013,14.7,14.8,14.12,14.18,11.854318,147415098
12/18/2013,14.3,14.44,14.14,14.24,11.904476,67688767
12/19/2013,14.4,14.46,14.04,14.16,11.837598,64369168
12/20/2013,14.18,14.24,13.86,14.14,11.820878,71865605
12/23/2013,14.36,14.4,14.16,14.24,11.904476,45063192
12/24/2013,14.38,14.4,14.2,14.34,11.988076,31313072
12/27/2013,14.34,14.36,14.02,14.32,11.971357,31308071
12/30/2013,14.28,14.44,14.22,14.32,11.971357,33765870
12/31/2013,14.48,14.66,14.36,14.42,12.054955,32261896
1/2/2014,14.42,14.56,14.22,14.38,12.021515,35595394
1/3/2014,14.1,14.18,13.8,13.82,11.553362,71543328
1/6/2014,13.74,13.9,13.64,13.84,11.570081,54753244
1/7/2014,13.7,13.76,13.58,13.66,11.419601,46244693
1/8/2014,13.72,14.18,13.64,13.98,11.68712,78567150
1/9/2014,13.98,14.24,13.8,13.88,11.60352,68570003
1/10/2014,13.6,13.84,13.52,13.76,11.503201,71735265
1/13/2014,13.88,13.98,13.62,13.9,11.620238,55234213
1/14/2014,13.6,13.86,13.52,13.84,11.570081,44320323
1/15/2014,13.98,13.98,13.78,13.82,11.553362,34042274
1/16/2014,13.88,13.88,13.58,13.76,11.503201,51727064
1/17/2014,13.78,14.02,13.66,13.86,11.586802,65375840
1/20/2014,13.72,14.06,13.72,13.96,11.670399,51095886
1/21/2014,13.28,13.34,13.06,13.08,10.93473,185220194
1/22/2014,12.74,12.88,12.72,12.86,10.750813,154203468
1/23/2014,12.82,12.9,12.7,12.74,10.650495,107761590
1/24/2014,12.76,12.76,12.62,12.66,10.583614,85540508
1/27/2014,12.46,12.46,12.2,12.22,10.21578,125816341
1/28/2014,12.14,12.34,12.12,12.16,10.165619,91485284
1/29/2014,12.26,12.38,12.16,12.18,10.182341,89645531
1/30/2014,12.14,12.24,11.94,12.2,10.19906,61909041
2/4/2014,12.2,12.2,11.52,11.54,9.647308,123852056
2/5/2014,11.66,11.76,11.48,11.58,9.680747,86041583
2/6/2014,11.56,11.84,11.56,11.66,9.747626,80130100
2/7/2014,11.96,12.22,11.84,12.12,10.132181,126844241
2/10/2014,12.22,12.34,12.04,12.1,10.115462,93776138
2/11/2014,12.34,12.74,12.26,12.68,10.600336,117362920
2/12/2014,12.88,12.98,12.78,12.96,10.834411,113310768
2/13/2014,12.82,12.84,12.62,12.66,10.583614,65229919
2/14/2014,12.78,12.84,12.54,12.74,10.650495,52672944
2/17/2014,12.74,12.84,12.64,12.82,10.717373,23620507
2/18/2014,12.88,12.9,12.74,12.78,10.683932,23870897
2/19/2014,12.72,12.76,12.5,12.62,10.550177,45957744
2/20/2014,12.46,12.78,12.3,12.34,10.316099,73307048
2/21/2014,12.46,12.52,12.22,12.4,10.366257,62255145
2/24/2014,12.46,12.48,12.12,12.26,10.249219,37042031
2/25/2014,12.4,12.52,12.34,12.46,10.416417,59710119
2/26/2014,12.46,12.68,12.32,12.54,10.483296,60465687
2/27/2014,12.62,12.82,12.48,12.76,10.667212,54485339
2/28/2014,13.06,13.06,12.64,12.72,10.633775,69988768
3/3/2014,12.58,12.7,12.46,12.56,10.500018,47472563
3/4/2014,12.42,12.68,12.42,12.58,10.516736,46632422
3/5/2014,12.6,12.66,12.3,12.36,10.332818,54305065
3/6/2014,12.4,12.64,12.34,12.54,10.483296,53373558
3/7/2014,12.54,12.64,12.42,12.44,10.399698,41362639
3/10/2014,12.18,12.26,11.9,12.08,10.098742,76283288
3/11/2014,12,12.08,11.7,11.76,9.831225,102787229
3/12/2014,11.66,11.82,11.64,11.68,9.764346,54252434
3/13/2014,11.72,11.86,11.54,11.58,9.680747,61953437
3/14/2014,11.66,11.76,11.56,11.62,9.714187,67967183
3/17/2014,11.5,11.66,11.44,11.56,9.664029,54685911
3/18/2014,11.7,11.76,11.42,11.6,9.697468,82545699
3/19/2014,11.74,11.88,11.52,11.76,9.831225,73568270
3/20/2014,11.78,11.84,11.6,11.62,9.714187,56077238
3/21/2014,11.64,11.96,11.46,11.92,9.964983,85607484
3/24/2014,12.06,12.2,11.98,12.2,10.19906,61069209
3/25/2014,12.2,12.2,11.86,11.96,9.998423,52412914
3/26/2014,12.14,12.22,11.98,12.04,10.065302,65923616
3/27/2014,12.28,12.28,12.12,12.18,10.182341,71467785
3/28/2014,12.2,12.34,12.2,12.32,10.29938,53728625
3/31/2014,11.9,11.9,11.54,11.66,9.747626,200210645
4/1/2014,11.78,11.86,11.6,11.68,9.764346,101748468
4/2/2014,11.82,11.82,11.64,11.7,9.781065,70183271
4/3/2014,11.88,11.92,11.78,11.82,9.881384,108448105
4/4/2014,11.82,12.18,11.82,12.02,10.048584,87241911
4/7/2014,12.2,12.24,12.1,12.22,10.21578,64160215
4/8/2014,12.3,12.6,12.3,12.58,10.516736,87338704
4/9/2014,12.66,12.86,12.6,12.68,10.600336,92370327
4/10/2014,12.72,12.86,12.46,12.8,10.700655,102305898
4/11/2014,12.8,12.94,12.68,12.8,10.700655,94436818
4/14/2014,12.82,13.08,12.8,12.96,10.834411,65285370
4/15/2014,13.2,13.2,12.6,12.66,10.583614,75610543
4/16/2014,12.68,12.88,12.62,12.7,10.617054,36932339
4/17/2014,12.78,12.94,12.76,12.88,10.767531,50738599
4/22/2014,12.88,12.98,12.76,12.94,10.817692,43725556
4/23/2014,13.16,13.16,12.68,12.78,10.683932,54757401
4/24/2014,12.6,12.74,12.6,12.7,10.617054,59852742
4/25/2014,12.7,12.76,12.5,12.54,10.483296,48282119
4/28/2014,12.48,12.74,12.48,12.68,10.600336,58749290
4/29/2014,12.78,13.02,12.66,12.96,10.834411,61691968
4/30/2014,12.86,12.86,12.64,12.82,10.717373,71678010
5/2/2014,12.82,12.82,12.56,12.74,10.650495,52709280
5/5/2014,12.7,12.9,12.52,12.62,10.550177,42078084
5/7/2014,12.62,12.7,12.44,12.5,10.449857,60584569
5/8/2014,12.64,12.92,12.64,12.86,10.750813,61564372
5/9/2014,12.8,12.9,12.64,12.84,10.734094,52072948
5/12/2014,12.9,13.08,12.68,12.96,10.834411,45777946
5/13/2014,13.12,13.12,12.94,13.1,10.95145,39028014
5/14/2014,13.22,13.38,13.12,13.3,11.118647,54316105
5/15/2014,13.28,13.3,13.16,13.28,11.101928,28594409
5/16/2014,13.1,13.34,13.06,13.3,11.118647,23962695
5/19/2014,13.28,13.28,13.08,13.28,11.101928,24956564
5/20/2014,13.22,13.34,13.12,13.24,11.068488,28441469
5/21/2014,13.28,13.46,13.22,13.42,11.218966,40947677
5/22/2014,13.5,13.7,13.34,13.62,11.386165,47907896
5/23/2014,13.7,13.78,13.5,13.62,11.386165,37820247
5/26/2014,13.72,13.82,13.52,13.56,11.336005,26125907
5/27/2014,13.56,13.72,13.32,13.66,11.419601,32298886
5/28/2014,13.78,13.88,13.68,13.82,11.553362,49340447
5/29/2014,13.8,13.84,13.54,13.58,11.352724,48986732
5/30/2014,13.56,13.64,13.26,13.3,11.118647,86334160
6/3/2014,13.3,13.66,13.3,13.64,11.402884,52759421
6/4/2014,13.66,13.66,13.48,13.58,11.352724,26514963
6/5/2014,13.36,13.36,13.24,13.28,11.369847,22314889
6/6/2014,13.28,13.38,13.12,13.16,11.267108,31307647
6/9/2014,13.32,13.38,13.22,13.28,11.369847,20475077
6/10/2014,13.4,13.6,13.26,13.6,11.64382,48452251
6/11/2014,13.44,13.52,13.32,13.48,11.54108,28446124
6/12/2014,13.48,13.64,13.38,13.6,11.64382,32471836
6/13/2014,13.62,13.98,13.6,13.86,11.866422,74178858
6/16/2014,13.74,14,13.74,13.9,11.900667,40231759
6/17/2014,13.94,14.08,13.84,13.98,11.969161,52774151
6/18/2014,13.82,14.08,13.82,14.04,12.020532,49657353
6/19/2014,14.2,14.26,14.04,14.12,12.089024,58333942
6/20/2014,14.1,14.1,13.94,14.06,12.037655,49549839
6/23/2014,13.92,14.04,13.66,13.76,11.780806,84095292
6/24/2014,13.84,13.86,13.52,13.56,11.609573,49619485
6/25/2014,13.68,13.68,13.44,13.48,11.54108,33521674
6/26/2014,13.66,13.88,13.52,13.82,11.832175,44570573
