Date,Open,High,Low,Close,Adj Close,Volume
3/11/2013,11.275,11.4,11.05,11.1,10.441024,7349800
3/12/2013,11,11.1,10.825,10.925,10.276413,5622000
3/13/2013,10.925,10.925,10.675,10.725,10.088286,10221454
3/14/2013,10.575,10.875,10.575,10.65,10.017737,8280000
3/15/2013,10.675,10.825,10.625,10.825,10.182347,9685848
3/18/2013,10.825,10.95,10.775,10.8,10.158834,8106562
3/19/2013,10.775,11.2,10.775,10.875,10.229381,8852600
3/20/2013,11,11.025,10.75,10.775,10.135317,7153902
3/21/2013,10.625,10.725,10.55,10.675,10.041254,8314000
3/22/2013,10.575,10.7,10.575,10.65,10.017737,4053898
3/25/2013,10.525,10.575,10.3,10.5,9.876643,8995180
3/26/2013,10.65,10.825,10.5,10.575,9.94719,9552200
3/27/2013,10.4,11.05,10.4,11,10.346959,17968600
3/28/2013,11,11.225,10.675,11.15,10.488054,12446658
4/2/2013,11.15,11.15,10.8,10.975,10.323444,9356116
4/3/2013,10.925,11.075,10.8,10.8,10.158834,9292400
4/5/2013,10.8,10.925,10.675,10.775,10.135317,7440092
4/8/2013,10.75,10.825,10.65,10.725,10.088286,6600600
4/9/2013,10.7,10.925,10.7,10.825,10.182347,11572442
4/10/2013,11,11.025,10.875,10.975,10.323444,14416814
4/11/2013,11.1,11.275,11.05,11.2,10.535085,11533596
4/12/2013,11.25,11.5,11.225,11.4,10.723212,10789208
4/15/2013,11.425,11.6,11.4,11.475,10.79376,13631180
4/16/2013,11.425,11.55,11.325,11.45,10.770244,7678730
4/17/2013,11.425,11.55,11.2,11.275,10.605633,6018470
4/18/2013,11.325,11.45,11.2,11.225,10.558602,10098000
4/19/2013,11.15,11.175,10.95,11,10.346959,14272000
4/22/2013,10.9,11.175,10.875,10.9,10.252895,11361698
4/23/2013,10.8,10.9,10.675,10.75,10.111801,18343718
4/24/2013,10.85,11.05,10.85,11,10.346959,5704000
4/25/2013,11,11.075,10.875,10.975,10.323444,3456000
4/26/2013,11.025,11.075,10.8,10.825,10.182347,17809800
4/29/2013,10.9,10.9,10.775,10.85,10.205866,6260372
4/30/2013,10.8,11,10.8,10.925,10.276413,9155198
5/2/2013,10.925,11.05,10.875,11.025,10.370475,10112846
5/3/2013,11.075,11.275,11.075,11.225,10.558602,14463500
5/6/2013,11.3,11.3,10.975,10.975,10.323444,3880088
5/7/2013,10.975,11.075,10.85,10.875,10.229381,14232000
5/8/2013,10.875,11.1,10.775,10.9,10.252895,16752400
5/9/2013,10.95,11.875,10.95,11.7,11.005402,29259338
5/10/2013,11.75,12.1,11.65,12.05,11.334624,23419098
5/13/2013,11.975,12.125,11.85,12.025,11.311107,12258920
5/14/2013,11.925,12,11.85,11.95,11.24056,11075404
5/15/2013,11.925,12.225,11.85,12.175,11.452203,13918838
5/16/2013,12.05,12.3,12.05,12.25,11.52275,12273428
5/20/2013,12.25,13.65,12.25,13.525,12.722056,63809548
5/21/2013,13.3,13.5,13.05,13.45,12.651509,34965882
5/22/2013,13.65,13.65,13,13.15,12.36932,12581048
5/23/2013,13,13.4,12.85,13.15,12.36932,13405248
5/24/2013,13.05,13.25,13,13.225,12.439867,10945470
5/27/2013,13.225,13.225,12.925,13.15,12.36932,5131686
5/28/2013,13.15,13.275,13.125,13.275,12.486898,13693008
5/29/2013,13.3,13.5,13.225,13.325,12.53393,19860306
5/30/2013,13.35,13.475,13.2,13.425,12.627995,9162862
5/31/2013,13.425,13.6,13.35,13.525,12.722056,20262836
6/3/2013,13.525,14.3,13.525,14.05,13.21589,20345368
6/4/2013,14.15,14.675,14.05,14.375,13.521593,24673162
6/5/2013,14.55,14.55,13.9,14.15,13.309952,12160870
6/6/2013,13.95,14.175,13.575,13.8,12.980732,15046300
6/7/2013,13.925,13.975,13.65,13.85,13.027762,7387530
6/10/2013,13.725,14.2,13.725,14.15,13.309952,13207918
6/11/2013,14.125,14.15,13.75,13.8,13.129188,10122770
6/13/2013,13.8,14,13.275,13.425,12.772417,4969210
6/14/2013,13.425,13.425,13.425,13.425,12.772417,0
6/17/2013,13.425,13.425,13.425,13.425,12.772417,0
6/18/2013,13.425,13.425,13.425,13.425,12.772417,0
6/19/2013,14.55,14.6,14.05,14.35,13.652453,41625356
6/20/2013,14.35,14.675,14.25,14.55,13.842731,29862114
6/21/2013,14.125,14.2,13.7,13.75,13.081618,23118264
6/24/2013,13.5,13.975,13.05,13.4,12.748631,11679696
6/25/2013,13.125,13.35,12.7,12.95,12.320506,20677530
6/26/2013,13,13.575,13,13.475,12.819985,18374602
6/27/2013,13.625,13.775,13.025,13.325,12.677278,17945750
6/28/2013,13.675,14,13.45,13.875,13.200541,21626800
7/2/2013,13.875,14.6,13.875,14.45,13.747591,19080774
7/3/2013,14.225,14.325,13.75,13.9,13.224326,12466302
7/4/2013,13.8,14.25,13.8,14.25,13.557313,7954188
7/5/2013,14.25,14.25,14,14.2,13.509744,8508984
7/8/2013,14,14.5,13.875,14.3,13.604883,11855796
7/9/2013,14.25,14.475,14.1,14.425,13.723807,8351594
7/10/2013,14.35,14.5,14.275,14.425,13.723807,10182560
7/11/2013,14.6,14.6,14.15,14.275,13.581099,4725202
7/12/2013,14.45,14.5,14.125,14.3,13.604883,5234456
7/15/2013,14.325,14.75,14.15,14.65,13.937868,11325732
7/16/2013,14.65,15.675,14.625,15.425,14.675198,20546290
7/17/2013,15.35,15.35,15,15.2,14.461135,15058020
7/18/2013,15.1,15.675,15,15.65,14.889259,17083432
7/19/2013,15.5,15.55,15.2,15.425,14.675198,9994878
7/22/2013,15.325,15.475,15.175,15.375,14.627628,7958628
7/23/2013,15.35,15.575,15.225,15.475,14.722768,8273404
7/24/2013,15.475,15.925,15.475,15.525,14.770336,9257742
7/25/2013,15.45,15.7,15.175,15.325,14.580058,7651568
7/26/2013,15.15,15.75,15.15,15.625,14.865475,6918570
7/29/2013,15.45,15.8,15.4,15.55,14.794121,6419200
7/30/2013,15.475,15.95,15.475,15.875,15.103323,6184000
7/31/2013,16,16.25,15.45,15.525,14.770336,13809000
8/1/2013,16.125,16.200001,15.75,16.1,15.317387,10103902
8/2/2013,16.25,16.275,16.125,16.225,15.436311,5275090
8/5/2013,16.299999,16.674999,15.925,16.025,15.246032,9542660
8/6/2013,16,16.4,15.925,16.200001,15.412526,7531950
8/7/2013,16.25,16.85,16.15,16.25,15.460095,14121000
8/8/2013,16.5,16.6,15.95,16.075001,15.293602,4895214
8/9/2013,16.174999,16.424999,16.025,16.174999,15.388738,2706000
8/12/2013,16.025,16.299999,15.7,16,15.222247,8358870
8/13/2013,15.95,16.075001,15.3,15.5,14.746551,17432280
8/14/2013,15.5,15.5,15.5,15.5,14.746551,0
8/15/2013,15.5,15.8,15.45,15.5,14.746551,8025354
8/16/2013,15.25,15.975,15.2,15.85,15.079538,7658000
8/19/2013,15.875,15.875,15.525,15.825,15.055754,3940690
8/20/2013,15.8,16.1,15.475,15.5,14.746551,8476734
8/21/2013,15.625,16.15,15.525,15.75,14.984399,5643300
8/22/2013,15.55,15.975,15.425,15.7,14.936829,7370794
8/23/2013,15.725,15.725,15.375,15.475,14.722768,4082400
8/26/2013,15.825,15.825,15.475,15.625,14.865475,2863000
8/27/2013,15.6,15.625,15.05,15.075,14.34221,9799196
8/28/2013,15,15.175,14.85,14.925,14.199502,9984800
8/29/2013,15.25,16.1,15.25,15.875,15.103323,14949986
8/30/2013,15.975,16.6,15.875,16.4,15.602804,22459198
9/2/2013,16.6,16.625,16.225,16.4,15.602804,9869614
9/3/2013,16.4,16.575001,16.200001,16.275,15.48388,4634000
9/4/2013,16.15,16.375,15.9,15.975,15.198462,7731600
9/5/2013,16.15,16.35,15.85,16.225,15.436311,11545382
9/6/2013,16.25,16.450001,16.075001,16.225,15.436311,7731020
9/9/2013,16.4,16.9,16.200001,16.799999,15.98336,16133266
9/10/2013,16.799999,17,16.725,16.85,16.030928,11978260
9/11/2013,16.950001,16.950001,16.325001,16.549999,15.745512,9730488
9/12/2013,16.700001,16.700001,16.025,16.35,15.555233,10164910
9/13/2013,16.4,16.9,16.325001,16.775,15.959575,6691386
9/16/2013,16.950001,17.200001,16.65,17.075001,16.244993,9975490
9/17/2013,17.1,17.200001,16.924999,17.174999,16.34013,7882878
9/18/2013,17.15,17.174999,16.924999,17.049999,16.221205,9684858
9/19/2013,17.225,17.225,16.875,16.975,16.149853,5772750
9/23/2013,16.975,17.9,16.65,17.825001,16.958534,33925636
9/24/2013,17.799999,18.174999,17.35,17.725,16.863396,24377000
9/25/2013,17.674999,17.9,17.200001,17.799999,16.93475,13570502
9/26/2013,17.975,17.975,17.4,17.424999,16.577976,6906000
9/27/2013,17.549999,17.75,17.424999,17.725,16.863396,11226098
9/30/2013,17.525,17.575001,17.35,17.375,16.530409,4784800
10/2/2013,17.375,17.525,17.049999,17.5,16.649332,13661550
10/3/2013,17.65,18.375,17.549999,18.025,17.148813,15987422
10/4/2013,17.875,18.299999,17.674999,18.225,17.339088,17349000
10/7/2013,18.325001,18.450001,17.799999,17.9,17.029886,12804020
10/8/2013,18,18.200001,17.825001,18.049999,17.172598,17910360
10/9/2013,17.875,18.049999,17.575001,17.6,16.744473,6901648
10/10/2013,17.625,18,17.625,18,17.125029,5823244
10/11/2013,18.1,18.125,17.700001,17.75,16.88718,8871824
10/15/2013,17.75,18.075001,17.75,17.950001,17.077459,7527418
10/16/2013,17.950001,18.1,17.674999,17.725,16.863396,5170070
10/17/2013,17.9,18,17.674999,17.9,17.029886,5959600
10/18/2013,18,18.275,17.924999,18.15,17.267735,8072000
10/21/2013,17.950001,18.725,17.9,18.450001,17.553156,8613614
10/22/2013,18.4,19.225,18.15,18.825001,17.909925,10210714
10/23/2013,18.950001,19.125,17.575001,17.700001,16.839611,22728314
10/24/2013,17.725,18.174999,17.700001,17.924999,17.053673,14974088
10/25/2013,17.775,17.950001,17.25,17.799999,16.93475,10031316
10/28/2013,17.825001,17.975,17.174999,17.6,16.744473,13276000
10/29/2013,17.549999,17.6,16.924999,17,16.173637,15446236
10/30/2013,17.049999,17.700001,17.049999,17.65,16.792042,9300870
10/31/2013,17.5,17.6,16.825001,17.049999,16.221205,24401080
11/1/2013,17.125,17.25,16.75,16.85,16.030928,16044602
11/4/2013,16.950001,17.025,16.299999,16.5,15.697942,30673888
11/5/2013,16.674999,16.700001,16.325001,16.475,15.674157,15144002
11/6/2013,16.450001,16.875,16.450001,16.825001,16.007147,16300128
11/7/2013,16.700001,16.700001,16.025,16.075001,15.293602,28879872
11/8/2013,16,16,15.55,15.625,14.865475,24853920
11/11/2013,15.8,16.174999,15.8,16.049999,15.269815,13207774
11/12/2013,16.299999,16.424999,15.95,16.4,15.602804,16207400
11/13/2013,16.35,16.6,16.275,16.325001,15.531449,24150928
11/14/2013,16.525,16.525,15.95,16.299999,15.507662,12556126
