Date,Open,High,Low,Close,Adj Close,Volume
3/11/2013,21.1,21.6,20.950001,21.049999,18.527853,6558600
3/12/2013,21.200001,21.450001,21,21.200001,18.659882,6824891
3/13/2013,21,21,19.860001,20.35,17.911726,18982469
3/14/2013,19.98,20.6,19.68,20.5,18.043755,12759461
3/15/2013,20.299999,20.299999,19.139999,19.4,17.075556,26902385
3/18/2013,18.940001,19.959999,18.82,19.82,17.445227,20653561
3/19/2013,20,20.1,19.620001,19.9,17.515644,9069583
3/20/2013,20,20.85,19.620001,20.700001,18.219793,13474470
3/21/2013,20.6,21.35,20.5,21.049999,18.527853,14470006
3/22/2013,21.1,21.299999,20.6,20.9,18.395828,12471634
3/25/2013,21.200001,21.299999,20.950001,21.25,18.703896,3689500
3/26/2013,21,21.6,21,21.450001,18.879929,8415200
3/27/2013,21.75,22.200001,21.5,21.9,19.276009,7690704
3/28/2013,21.75,22.1,21.299999,21.700001,19.099974,6644261
4/2/2013,21.700001,22.299999,21.200001,21.950001,19.320023,4954100
4/3/2013,21.950001,22.35,21.75,21.9,19.276009,3434301
4/5/2013,21.9,21.9,20.65,21,18.48385,7289647
4/8/2013,21,21.15,20.5,20.85,18.35182,4309053
4/9/2013,21,21.15,20.700001,20.799999,18.307808,4907795
4/10/2013,21,21.799999,20.950001,21.5,18.923939,7992087
4/11/2013,21.6,22,21.5,21.799999,19.187992,5721030
4/12/2013,21.85,22.1,21.65,21.75,19.143986,3632854
4/15/2013,21.700001,21.9,21.299999,21.700001,19.099974,4875128
4/16/2013,21.450001,22,21.200001,21.799999,19.187992,6355920
4/17/2013,22.1,22.25,21.6,21.65,19.055967,8675510
4/18/2013,21.65,22.75,21.5,22.15,19.496058,12382846
4/19/2013,22.1,23.85,22,23.35,20.552279,10382941
4/22/2013,23.5,23.700001,22.9,23.049999,20.288223,5701734
4/23/2013,23.200001,23.25,22.25,22.4,19.716105,7741000
4/24/2013,22.65,23.25,22.6,23,20.244211,5823939
4/25/2013,23.299999,23.299999,22.85,23.1,20.332232,7564734
4/26/2013,23.25,23.549999,23,23.25,20.464256,8821087
4/29/2013,23.4,23.799999,23.299999,23.5,20.684305,4465700
4/30/2013,23.700001,23.799999,23.4,23.5,20.684305,5390479
5/2/2013,23.5,23.799999,23.049999,23.65,20.816332,4258729
5/3/2013,23.950001,24.25,23.35,23.5,20.684305,8255557
5/6/2013,24,24,23.75,23.75,20.904352,6136898
5/7/2013,23.950001,24.15,23.700001,23.9,21.036375,7011136
5/8/2013,23.9,24.049999,23.85,24.049999,21.168406,4565078
5/9/2013,24.200001,24.25,24,24.1,21.212416,7160175
5/10/2013,24.15,24.200001,23.4,23.9,21.036375,7820000
5/13/2013,23.9,24,23.049999,23.299999,20.50827,7526942
5/14/2013,23.4,23.6,22.549999,22.6,19.892139,12938000
5/15/2013,22.799999,23.1,22.700001,22.950001,20.200205,9589381
5/16/2013,23.1,23.1,22.35,22.799999,20.068176,9087965
5/20/2013,22.799999,23.950001,22.799999,23.65,20.816332,10858000
5/21/2013,23.75,24,23.299999,23.9,21.036375,12098800
5/22/2013,23.950001,24.200001,23.549999,23.700001,20.860344,5775832
5/23/2013,23.35,23.65,23,23.299999,20.50827,8962532
5/24/2013,23.6,23.6,22.85,23.200001,20.420254,8280735
5/27/2013,23.200001,23.6,23.049999,23.25,20.464256,5356188
5/28/2013,23.5,24.15,23.299999,24,21.124395,9202000
5/29/2013,23.950001,24.299999,23.549999,23.700001,20.860344,10079224
5/30/2013,23.799999,24.5,23.35,23.549999,20.728313,8768575
