Date,Open,High,Low,Close,Adj Close,Volume
3/11/2013,5.53,5.6,5.51,5.55,4.194375,175156784
3/12/2013,5.55,5.64,5.48,5.49,4.149029,206284485
3/13/2013,5.45,5.49,5.37,5.37,4.058341,256020955
3/14/2013,5.37,5.44,5.3,5.43,4.103685,314188194
3/15/2013,5.42,5.47,5.32,5.41,4.088571,386269032
3/18/2013,5.3,5.35,5.23,5.27,3.982766,307276821
3/19/2013,5.24,5.3,5.19,5.2,3.929864,283964345
3/20/2013,5.21,5.36,5.2,5.34,4.035668,349419450
3/21/2013,5.42,5.42,5.28,5.34,4.035668,316601087
3/22/2013,5.34,5.35,5.26,5.32,4.020553,276597174
3/25/2013,5.39,5.42,5.35,5.39,4.073455,248073180
3/26/2013,5.38,5.42,5.33,5.41,4.088571,231858155
3/27/2013,5.4,5.49,5.4,5.45,4.1188,181502542
3/28/2013,5.4,5.47,5.3,5.44,4.111242,465632612
4/2/2013,5.44,5.44,5.31,5.37,4.058341,303558216
4/3/2013,5.4,5.42,5.33,5.34,4.035668,246566066
4/5/2013,5.34,5.34,5.18,5.2,3.929864,324691738
4/8/2013,5.24,5.24,5.17,5.17,3.907192,272037359
4/9/2013,5.19,5.27,5.19,5.23,3.952537,278996616
4/10/2013,5.27,5.27,5.2,5.23,3.952537,291004949
4/11/2013,5.26,5.3,5.24,5.26,3.975209,228561969
4/12/2013,5.3,5.31,5.24,5.25,3.967652,140119418
4/15/2013,5.24,5.24,5.15,5.17,3.907192,235327203
4/16/2013,5.13,5.22,5.11,5.15,3.892077,223109162
4/17/2013,5.13,5.16,5.06,5.08,3.839175,355387335
4/18/2013,5.04,5.11,5.03,5.06,3.82406,217863868
4/19/2013,5.1,5.27,5.08,5.26,3.975209,340268851
4/22/2013,5.27,5.32,5.23,5.25,3.967652,147588395
4/23/2013,5.25,5.26,5.12,5.21,3.937422,296079077
4/24/2013,5.31,5.31,5.23,5.28,3.990324,342136499
4/25/2013,5.32,5.39,5.3,5.37,4.058341,281252240
4/26/2013,5.4,5.46,5.4,5.41,4.088571,215570763
4/29/2013,5.4,5.46,5.37,5.42,4.096128,207352839
4/30/2013,5.48,5.5,5.41,5.46,4.126357,263219558
5/2/2013,5.46,5.46,5.37,5.42,4.096128,190629884
5/3/2013,5.43,5.48,5.39,5.43,4.103685,201563162
5/6/2013,5.47,5.52,5.46,5.5,4.156588,223454934
5/7/2013,5.48,5.56,5.45,5.55,4.194375,199528767
5/8/2013,5.6,5.61,5.56,5.6,4.232162,219308931
5/9/2013,5.64,5.65,5.55,5.59,4.224604,192894483
5/10/2013,5.59,5.65,5.59,5.64,4.262391,229318676
5/13/2013,5.61,5.62,5.52,5.56,4.201932,232537919
5/14/2013,5.59,5.6,5.42,5.49,4.149029,276815700
5/15/2013,5.55,5.59,5.52,5.55,4.194375,197861951
5/16/2013,5.59,5.59,5.51,5.56,4.201932,210414145
5/20/2013,5.56,5.7,5.56,5.64,4.262391,257538933
5/21/2013,5.54,5.55,5.51,5.52,4.171702,2172121683
5/22/2013,5.52,5.59,5.5,5.53,4.17926,290282287
5/23/2013,5.51,5.52,5.36,5.38,4.065898,567179867
5/24/2013,5.4,5.45,5.35,5.39,4.073455,288464142
5/27/2013,5.36,5.43,5.35,5.41,4.088571,244179091
5/28/2013,5.44,5.51,5.4,5.5,4.156588,217978339
5/29/2013,5.5,5.5,5.38,5.42,4.096128,287366109
5/30/2013,5.43,5.47,5.32,5.41,4.088571,293473905
5/31/2013,5.41,5.5,5.35,5.47,4.133914,737934867
6/3/2013,5.4,5.5,5.38,5.4,4.081013,324938563
6/4/2013,5.45,5.45,5.37,5.38,4.065898,205698932
6/5/2013,5.37,5.38,5.33,5.36,4.050783,214142023
6/6/2013,5.31,5.33,5.27,5.3,4.005439,314630065
6/7/2013,5.3,5.34,5.21,5.24,3.960094,278646294
6/10/2013,5.34,5.34,5.22,5.24,3.960094,249284490
6/11/2013,5.2,5.23,5.15,5.17,3.907192,353699251
6/13/2013,5.17,5.17,5.02,5.09,3.846733,612574678
6/14/2013,5.15,5.18,5.05,5.07,3.831618,573410168
6/17/2013,4.81,4.84,4.73,4.83,3.830824,534922518
