Date,Open,High,Low,Close,Adj Close,Volume
3/11/2013,8.63,8.66,8.36,8.39,6.944521,48380902
3/12/2013,8.42,8.48,8.26,8.31,6.878304,26727565
3/13/2013,8.32,8.32,8.01,8.02,6.638267,61457447
3/14/2013,7.9,8,7.63,7.95,6.580327,88556698
3/15/2013,8.05,8.05,7.71,7.73,6.39823,52386679
3/18/2013,7.6,7.65,7.46,7.52,6.224411,55435301
3/19/2013,7.47,7.73,7.35,7.73,6.39823,64111096
3/20/2013,7.75,7.81,7.64,7.78,6.439616,76664182
3/21/2013,7.84,8.07,7.82,7.89,6.530664,58282143
3/22/2013,7.95,8.14,7.93,8.12,6.721039,60471352
3/25/2013,8.29,8.29,8.07,8.11,6.712761,35814290
3/26/2013,8.18,8.18,7.87,7.91,6.547219,53370213
3/27/2013,7.9,7.98,7.83,7.96,6.588604,35757890
3/28/2013,7.95,7.96,7.7,7.71,6.381676,47344137
4/2/2013,7.71,7.78,7.5,7.52,6.224411,40984360
4/3/2013,7.67,7.71,7.57,7.63,6.315459,47794785
4/5/2013,7.63,7.7,7.3,7.35,6.083698,69222014
4/8/2013,7.34,7.41,7.31,7.37,6.100252,24705278
4/9/2013,7.49,7.49,7.34,7.36,6.091976,28901979
4/10/2013,7.44,7.58,7.4,7.53,6.232687,31661177
4/11/2013,7.68,7.68,7.04,7.09,5.868494,113583934
4/12/2013,7.02,7.05,6.65,6.66,5.512576,225935522
4/15/2013,6.46,6.69,6.46,6.6,5.462913,94540887
4/16/2013,6.55,6.77,6.51,6.73,5.570515,95268029
4/17/2013,6.85,6.85,6.63,6.67,5.520853,61579202
4/18/2013,6.63,6.71,6.45,6.45,5.338756,78359440
4/19/2013,6.56,7.08,6.52,7.06,5.843661,161703331
4/22/2013,7,7.17,6.91,7,5.793999,56435002
4/23/2013,7.08,7.08,6.89,7.04,5.827107,44306014
4/24/2013,7.19,7.25,7.11,7.16,5.926433,52492391
4/25/2013,7.19,7.19,7.02,7.1,5.87677,26693989
4/26/2013,7.19,7.2,7,7.05,5.835385,24595851
4/29/2013,7.05,7.18,7.05,7.15,5.918156,20986541
4/30/2013,7.2,7.24,7.01,7.09,5.868494,34514165
5/2/2013,7.09,7.09,6.78,6.9,5.711228,53769297
5/3/2013,6.89,6.9,6.8,6.83,5.653287,45723847
5/6/2013,6.92,6.97,6.74,6.85,5.669842,36714378
5/7/2013,6.89,6.89,6.74,6.79,5.620178,53213928
5/8/2013,6.8,6.91,6.8,6.89,5.70295,30003353
5/9/2013,6.9,6.92,6.78,6.84,5.661564,30113891
5/10/2013,6.82,6.91,6.73,6.85,5.669842,28634589
5/13/2013,6.8,6.85,6.65,6.7,5.545684,42246998
5/14/2013,6.7,6.74,6.63,6.66,5.512576,23059012
5/15/2013,6.75,6.75,6.68,6.71,5.553962,22712144
5/16/2013,6.6,6.95,6.6,6.93,5.736058,46071631
5/20/2013,6.93,7.19,6.93,7.17,5.93471,84176975
5/21/2013,7.2,7.28,7.11,7.26,6.009204,55510777
5/22/2013,7.5,7.5,7.08,7.18,5.942987,31244714
5/23/2013,7.18,7.49,7.08,7.38,6.10853,116344836
5/24/2013,7.68,7.77,7.63,7.66,6.34029,119573677
5/27/2013,7.72,7.93,7.69,7.81,6.464447,62555021
5/28/2013,7.78,7.83,7.66,7.79,6.447893,35429340
5/29/2013,7.8,7.9,7.6,7.64,6.323736,39589999
5/30/2013,7.58,7.75,7.54,7.72,6.389953,39281911
5/31/2013,7.79,8.02,7.78,7.99,6.613436,90927789
6/3/2013,7.87,7.98,7.74,7.82,6.472724,43079694
6/4/2013,7.94,8.13,7.9,8.08,6.68793,53985608
6/5/2013,8.08,8.08,7.82,7.98,6.605159,42377724
6/6/2013,7.96,7.97,7.71,7.75,6.414784,44695381
6/7/2013,7.75,7.8,7.61,7.73,6.39823,30521021
6/10/2013,7.84,7.98,7.79,7.96,6.588604,25098200
6/11/2013,7.88,7.98,7.65,7.7,6.373398,38215083
6/13/2013,7.7,7.7,7.21,7.4,6.125083,65713105
6/14/2013,7.52,7.53,7.35,7.46,6.174747,54572465
6/17/2013,7.46,7.52,7.38,7.44,6.158193,30482602
6/18/2013,7.33,7.43,7.16,7.33,6.067144,53980335
6/19/2013,7.34,7.4,7.14,7.23,5.984373,53462393
6/20/2013,7.2,7.23,7.1,7.13,5.901602,41643871
6/21/2013,7,7.15,6.92,7.12,5.893324,53201291
6/24/2013,7.06,7.07,6.76,6.82,5.64501,58333143
6/25/2013,6.67,6.92,6.65,6.84,5.661564,67098404
6/26/2013,6.9,7.07,6.7,7.01,5.802276,65175827
6/27/2013,7.1,7.13,7,7.02,5.810553,51117876
6/28/2013,7.11,7.12,6.92,7.03,5.81883,78565385
7/2/2013,7.03,7.24,6.98,7,5.793999,50925683
7/3/2013,7,7.04,6.82,6.84,5.661564,54091860
7/4/2013,6.78,6.85,6.73,6.8,5.628456,49365775
7/5/2013,6.85,6.91,6.73,6.82,5.64501,43659541
7/8/2013,6.8,6.95,6.64,6.91,5.719504,41883921
7/9/2013,6.97,6.97,6.83,6.91,5.719504,29470638
7/10/2013,6.91,6.98,6.85,6.9,5.711228,33551591
7/11/2013,6.92,7.23,6.92,7.15,5.918156,66318155
7/12/2013,7.25,7.45,7.15,7.19,5.951265,53564182
7/15/2013,7.27,7.27,7.16,7.18,5.942987,28006023
7/16/2013,7.21,7.25,7.14,7.22,5.976096,20570836
7/17/2013,7.3,7.34,7.22,7.27,6.017481,25337497
7/18/2013,7.18,7.21,7.05,7.06,5.958404,19508336
7/19/2013,7,7.04,6.92,7.01,5.916206,29630715
7/22/2013,6.98,7.04,6.86,6.92,5.840249,23087267
7/23/2013,6.92,7.1,6.92,7.06,5.958404,42913252
