Date,Open,High,Low,Close,Adj Close,Volume
3/11/2013,32.900002,33.075001,32.224998,32.275002,29.3307,20115948
3/12/2013,32.25,32.724998,31.525,31.575001,28.694557,36676794
3/13/2013,31.450001,31.950001,30.825001,31.049999,28.217445,38859890
3/14/2013,31.125,31.174999,30.75,30.950001,28.126574,45009276
3/15/2013,30.775,31.525,30.6,30.65,27.853937,48465998
3/18/2013,29.325001,30.299999,29.275,30.225,27.46771,26110358
3/19/2013,30.200001,30.325001,29.4,29.775,27.058762,43687834
3/20/2013,29.75,30.450001,29.5,30.174999,27.42227,23443988
3/21/2013,30.475,30.65,30.025,30.375,27.604029,22699140
3/22/2013,30.025,30.549999,30.025,30.200001,27.444992,13395924
3/25/2013,30.950001,30.950001,30,30.125,27.376833,13143088
3/26/2013,30.174999,30.174999,29.525,29.975,27.240519,19852298
3/27/2013,30.025,30.424999,29.875,30.275,27.513151,23952610
3/28/2013,30.275,30.275,29.700001,30.1,27.354113,21307084
4/2/2013,30.1,30.5,29.875,29.9,27.172356,17136528
4/3/2013,29.975,30.15,29.725,29.875,27.149643,15888650
4/5/2013,29.875,29.875,28.9,28.950001,26.309023,29578564
4/8/2013,28.924999,28.975,28,28.575001,25.968233,29725640
4/9/2013,28.85,29.725,28.575001,29.424999,26.740688,31163412
4/10/2013,29.5,29.825001,29.424999,29.799999,27.08148,21213092
4/11/2013,30.174999,30.35,29.625,29.875,27.149643,22526724
4/12/2013,29.9,29.924999,29.5,29.6,26.899727,15362006
4/15/2013,29.5,29.6,28.799999,29.200001,26.536217,19554874
4/16/2013,28.75,29.4,28.625,29.200001,26.536217,24949412
4/17/2013,29.299999,29.424999,28.85,28.9,26.263586,24544896
4/18/2013,28.375,29.325001,28.35,28.975,26.331743,22991810
4/19/2013,28.85,30.174999,28.85,30.049999,27.308676,34320800
4/22/2013,29.75,30.200001,29.35,29.799999,27.08148,14941128
4/23/2013,29.799999,29.799999,28.924999,29.299999,26.627094,28509988
4/24/2013,29.65,30,29.424999,29.799999,27.08148,19234128
4/25/2013,30,30.25,29.625,29.799999,27.08148,22263940
4/26/2013,30.25,30.475,30.049999,30.075001,27.331394,20510770
4/29/2013,30.075001,30.275,29.75,29.950001,27.2178,15878764
4/30/2013,30.25,30.875,30.200001,30.725,27.922096,35323294
5/2/2013,30.725,30.825001,30.225,30.625,27.831219,24506558
5/3/2013,31,31.15,30.700001,30.75,27.944818,28004290
5/6/2013,31.049999,31.375,30.950001,31.25,28.399204,19453812
5/7/2013,31.375,31.700001,31.125,31.65,28.762712,23509714
5/8/2013,32.25,32.275002,31.799999,32.075001,29.148945,28514004
5/9/2013,32.099998,32.25,31.4,31.674999,28.785433,20833534
5/10/2013,31.6,31.975,31.450001,31.799999,28.899029,13871388
5/13/2013,31.25,31.4,30.450001,30.475,27.694904,35764832
5/14/2013,30.475,30.700001,29.924999,30.15,27.741095,24293886
5/15/2013,30.075001,30.424999,30.075001,30.275,27.856106,14752352
5/16/2013,30.075001,30.200001,29.65,29.950001,27.557074,22647174
5/20/2013,29.950001,30.700001,29.950001,30.549999,28.109133,21924480
5/21/2013,30.5,30.549999,30.15,30.424999,27.994122,15676266
5/22/2013,30.450001,30.9,30.15,30.475,28.040127,19687124
5/23/2013,29.950001,30.450001,29.424999,29.5,27.14303,35177954
5/24/2013,29.450001,29.775,29.1,29.325001,26.98201,20489796
5/27/2013,29.275,29.674999,29.25,29.525,27.166029,9592560
5/28/2013,29.325001,30.125,29.275,30.025,27.626081,21286004
5/29/2013,29.875,30.025,29.25,29.375,27.028013,28773064
5/30/2013,29.225,29.75,28.9,29.1,26.774986,29782212
5/31/2013,29.075001,29.275,28.799999,28.9,26.590963,23718216
6/3/2013,28.85,29.25,28.725,28.924999,26.613966,15076170
6/4/2013,29.35,29.375,28.75,28.975,26.659973,18169212
6/5/2013,28.65,28.975,28.575001,28.85,26.544962,14002738
6/6/2013,28.549999,28.725,28.299999,28.575001,26.291933,16989806
6/7/2013,28.4,28.700001,28.25,28.4,26.130913,25621104
6/10/2013,28.5,28.575001,28.049999,28.299999,26.0389,21590444
6/11/2013,28.049999,28.4,27.9,28.200001,25.946894,22898452
6/13/2013,28.200001,28.200001,27,27.6,25.394833,51149680
6/14/2013,27.549999,27.674999,27.299999,27.5,25.30282,24854802
6/17/2013,27.65,28.075001,27.549999,27.725,25.509844,15921636
6/18/2013,27.325001,27.875,27.299999,27.674999,25.463839,20905146
6/19/2013,27.4,27.875,27.325001,27.5,25.30282,20385404
6/20/2013,27.125,27.475,26.775,26.799999,24.658751,40915948
6/21/2013,26.375,26.75,26.375,26.5,24.382717,60118616
6/24/2013,26.4,26.5,25.5,25.75,23.692644,44156362
6/25/2013,26.200001,26.200001,24.174999,25.125,23.117579,54592886
6/26/2013,25.5,25.85,25.049999,25.575001,23.531626,55069128
6/27/2013,25.65,26.125,25.299999,25.35,23.324602,31330070
6/28/2013,25.700001,26.225,25.5,26.1,24.014679,30967530
7/2/2013,26.1,26.924999,25.674999,25.725,23.66964,27960188
7/3/2013,25.475,25.625,24.674999,24.875,22.887552,59145456
7/4/2013,24.85,25.25,24.725,24.799999,22.818542,36239926
7/5/2013,25.049999,25.225,24.450001,24.975,22.979565,43964192
7/8/2013,24.450001,24.625,23.924999,24.525,22.565516,27931828
7/9/2013,24.65,25.049999,24.25,24.424999,22.473509,18546190
7/10/2013,24.424999,25.125,24.174999,25.1,23.094578,33212502
7/11/2013,25.549999,26.6,25.549999,26.225,24.129692,44221040
7/12/2013,26.424999,26.424999,25.450001,25.575001,23.531626,23897022
7/15/2013,25.65,26.200001,25.200001,25.5,23.462616,13688398
7/16/2013,25.4,25.700001,25.1,25.424999,23.39361,13787608
7/17/2013,25.525,25.950001,25.275,25.325001,23.301601,19412650
7/18/2013,25.325001,25.575001,24.924999,25.125,23.117579,15349724
7/19/2013,25,25.424999,24.65,24.875,22.887552,29972756
7/22/2013,25.125,25.25,24.825001,24.924999,22.933558,24448032
7/23/2013,25,25.9,25,25.75,23.692644,46168774
7/24/2013,25.875,25.875,25.4,25.475,23.439613,23470890
7/25/2013,25.375,25.5,25.125,25.15,23.140579,17392410
7/26/2013,25.025,25.299999,24.9,25.174999,23.163584,18959964
7/29/2013,25.174999,25.174999,24.6,24.9,22.910555,18364026
