Date,Open,High,Low,Close,Adj Close,Volume
3/11/2013,14.1,14.16,13.98,14.02,11.452067,2319528
3/12/2013,14.2,14.58,14.14,14.2,11.599097,10670324
3/13/2013,14.08,14.2,13.24,13.4,11.038914,14578969
3/14/2013,13.08,13.34,12.94,13.3,10.956534,11718939
3/15/2013,13.1,13.28,13,13.18,10.857678,13421171
3/18/2013,13.06,13.06,12.62,12.68,10.445778,11490138
3/19/2013,12.74,12.84,12.62,12.66,10.429302,5299350
3/20/2013,12.66,12.82,12.62,12.7,10.462255,6343436
3/21/2013,12.76,12.84,12.66,12.74,10.495207,8079108
3/22/2013,12.76,13,12.72,12.94,10.659967,6508864
3/25/2013,13.08,13.16,12.82,12.92,10.643491,4363135
3/26/2013,12.68,13.1,12.68,13.04,10.742348,4465301
3/27/2013,13,13.24,13,13.2,10.874155,3593854
3/28/2013,12.92,13.24,12.86,13.16,10.841203,6008305
4/2/2013,13.16,13.44,12.94,13.4,11.038914,7339814
4/3/2013,13.54,13.54,13.2,13.32,10.973011,5397716
4/5/2013,13.32,13.32,12.68,12.74,10.495207,11503247
4/8/2013,12.62,12.74,12.24,12.62,10.396352,11279147
4/9/2013,12.62,12.7,12.52,12.64,10.412827,4378568
4/10/2013,12.66,12.7,12.42,12.66,10.429302,6441870
4/11/2013,12.72,12.78,12.54,12.58,10.363398,8767866
4/12/2013,12.6,12.82,12.6,12.72,10.47873,8865181
4/15/2013,12.68,12.68,12.4,12.42,10.231591,6887891
4/16/2013,12.26,12.7,12.24,12.52,10.313972,5202641
4/17/2013,12.74,12.74,12.38,12.5,10.297495,9771315
4/18/2013,12.34,12.52,12.34,12.42,10.231591,4476956
4/19/2013,12.46,12.8,12.38,12.76,10.511683,7051652
4/22/2013,12.78,12.94,12.56,12.88,10.610539,4190201
4/23/2013,12.96,12.98,12.64,12.74,10.495207,10018402
4/24/2013,12.9,13.22,12.84,13.22,10.890631,11686640
4/25/2013,13.3,13.32,13.02,13.3,10.956534,8113335
4/26/2013,13.38,13.42,12.92,12.96,10.676443,9467809
4/29/2013,12.98,12.98,12.7,12.76,10.511683,8736878
4/30/2013,12.92,12.98,12.68,12.76,10.511683,6891052
5/2/2013,12.76,12.84,12.6,12.66,10.429302,5213364
5/3/2013,12.72,12.94,12.72,12.86,10.594062,5567063
5/6/2013,12.96,13,12.84,12.96,10.676443,3572367
5/7/2013,12.9,12.96,12.72,12.94,10.659967,5612768
5/8/2013,12.96,13.04,12.92,12.98,10.692919,3193291
5/9/2013,13.04,13.04,12.88,12.94,10.659967,2366350
5/10/2013,13,13,12.64,12.74,10.495207,7423544
