Date,Open,High,Low,Close,Adj Close,Volume
8/5/2014,6.8,6.86,6.55,6.66,6.239136,463865427
8/6/2014,6.65,6.73,6.64,6.64,6.2204,110785500
8/7/2014,6.66,6.82,6.64,6.75,6.323449,76599510
8/8/2014,6.76,6.77,6.63,6.66,6.239136,70280000
8/11/2014,6.78,7.05,6.75,6.97,6.529546,190255833
8/12/2014,7,7.09,6.96,6.98,6.538915,84527700
8/13/2014,7.02,7.02,6.78,6.9,6.46397,70089090
8/14/2014,6.91,6.91,6.78,6.8,6.37029,36687500
8/15/2014,6.81,6.85,6.75,6.8,6.37029,24940041
8/18/2014,6.83,6.9,6.73,6.79,6.360921,46956871
8/19/2014,6.81,6.85,6.74,6.78,6.351553,28269500
8/20/2014,6.78,6.84,6.77,6.78,6.351553,18297000
8/21/2014,6.81,6.81,6.67,6.72,6.295344,23024500
8/22/2014,6.71,6.76,6.61,6.65,6.229768,23629500
8/25/2014,6.65,6.76,6.65,6.72,6.295344,22174500
8/26/2014,6.7,6.73,6.67,6.71,6.285977,15580500
8/27/2014,6.74,6.76,6.65,6.66,6.239136,28585242
8/28/2014,6.66,6.73,6.29,6.31,5.911253,53681226
8/29/2014,6.3,6.38,6.2,6.37,5.967462,47748754
9/1/2014,6.48,6.52,6.42,6.47,6.061143,39121000
9/2/2014,6.47,6.49,6.35,6.38,5.97683,19610760
9/3/2014,6.35,6.45,6.17,6.19,5.798837,51374000
9/4/2014,6.23,6.29,6.19,6.22,5.826941,37341500
9/5/2014,6.25,6.43,6.22,6.39,5.986197,37202941
9/8/2014,6.46,6.46,6.35,6.38,5.97683,14583000
9/10/2014,6.38,6.46,6.33,6.36,5.958094,42881500
9/11/2014,6.34,6.42,6.34,6.42,6.014302,32240159
9/12/2014,6.48,6.69,6.45,6.69,6.26724,56051600
9/15/2014,6.68,6.76,6.55,6.6,6.182927,38311297
9/16/2014,6.56,6.66,6.5,6.52,6.107983,15630000
9/17/2014,6.52,6.55,6.45,6.48,6.07051,19626500
9/18/2014,6.5,6.51,6.4,6.43,6.02367,27324500
9/19/2014,6.45,6.64,6.45,6.56,6.145456,30192751
9/22/2014,6.53,6.54,6.43,6.43,6.02367,27204500
9/23/2014,6.45,6.52,6.44,6.45,6.042407,16056360
9/24/2014,6.45,6.55,6.45,6.51,6.098615,28769500
9/25/2014,6.54,6.69,6.48,6.51,6.098615,25902000
9/26/2014,6.46,6.5,6.42,6.46,6.051775,13157000
9/29/2014,6.39,6.4,6.17,6.34,5.939358,44607500
9/30/2014,6.3,6.4,6.23,6.38,5.97683,24227500
10/3/2014,6.38,6.43,6.24,6.4,5.995566,23910070
10/6/2014,6.42,6.44,6.35,6.4,5.995566,14129000
10/7/2014,6.41,6.41,6.29,6.33,5.92999,22557500
10/8/2014,6.3,6.34,6.27,6.31,5.911253,8931144
10/9/2014,6.31,6.37,6.22,6.28,5.88315,17933000
10/10/2014,6.23,6.27,6.18,6.23,5.836309,22278000
10/13/2014,6.21,6.23,6.14,6.17,5.780101,23270523
10/14/2014,6.12,6.22,6.02,6.09,5.705156,17469000
10/15/2014,6.08,6.13,5.97,5.99,5.611475,27100500
10/16/2014,5.96,6.02,5.84,5.91,5.53653,25688000
10/17/2014,5.98,6.14,5.97,6.11,5.723892,61884500
10/20/2014,6.18,6.32,6.12,6.3,5.901886,25322900
10/21/2014,6.27,6.35,6.24,6.26,5.864414,16368700
10/22/2014,6.25,6.39,6.25,6.33,5.92999,19987790
10/23/2014,6.3,6.33,6.23,6.27,5.873781,13527000
10/24/2014,6.25,6.29,6.16,6.19,5.798837,25384500
10/27/2014,5.98,5.98,4.95,4.96,4.646564,242017000
10/28/2014,5.05,5.18,5.01,5.17,4.843293,106542565
10/29/2014,5.2,5.22,5.02,5.07,4.749613,44290649
10/30/2014,5.06,5.1,4.95,4.98,4.6653,56307200
10/31/2014,5.01,5.1,5.01,5.07,4.749613,15844000
11/3/2014,5.02,5.05,4.96,4.97,4.655932,28638500
11/4/2014,4.95,5.07,4.95,5.06,4.740245,18397275
11/5/2014,5.07,5.19,5.06,5.14,4.815189,28238146
11/6/2014,5.17,5.19,5.1,5.15,4.824558,20193406
11/7/2014,5.22,5.23,5.13,5.15,4.824558,28920968
