Date,Open,High,Low,Close,Volume
3/8/2018,6.1317,6.1426,6.0945,6.1092,0
3/7/2018,6.132,6.1365,6.0865,6.1313,0
3/6/2018,6.0819,6.1439,6.074,6.1321,0
3/5/2018,6.0816,6.0916,6.0497,6.0821,0
3/2/2018,6.0728,6.0861,6.0575,6.0796,0
3/1/2018,6.0755,6.083,6.0362,6.0713,0
2/28/2018,6.096,6.1207,6.0715,6.0748,0
2/27/2018,6.143,6.1565,6.0908,6.0968,0
2/26/2018,6.1293,6.1772,6.1229,6.1457,0
2/23/2018,6.1402,6.1419,6.1053,6.1372,0
2/22/2018,6.1064,6.15,6.0944,6.1386,0
2/21/2018,6.167,6.1825,6.1045,6.1069,0
2/20/2018,6.1898,6.2073,6.1607,6.1684,0
2/19/2018,6.1881,6.2081,6.1769,6.189,0
2/16/2018,6.2154,6.2491,6.1738,6.1894,0
2/15/2018,6.1988,6.2336,6.1711,6.2138,0
2/14/2018,6.1501,6.2084,6.0807,6.1997,0
2/13/2018,6.1449,6.1615,6.1208,6.1486,0
2/12/2018,6.1043,6.1491,6.0949,6.1475,0
2/9/2018,6.0871,6.1248,6.0671,6.1094,0
2/8/2018,6.1154,6.1329,6.0801,6.0852,0
2/7/2018,6.1815,6.1842,6.1097,6.1154,0
2/6/2018,6.1614,6.1856,6.1253,6.1818,0
2/5/2018,6.1987,6.2205,6.157,6.1611,0
2/2/2018,6.2881,6.2912,6.1933,6.1966,0
2/1/2018,6.302,6.3101,6.2456,6.2862,0
1/31/2018,6.3216,6.3478,6.2835,6.3012,0
1/30/2018,6.3285,6.3444,6.287,6.3216,0
1/29/2018,6.3418,6.3484,6.3124,6.3281,0
1/26/2018,6.2781,6.3613,6.2573,6.341,0
1/25/2018,6.3014,6.3465,6.261,6.273,0
1/24/2018,6.2524,6.3186,6.2476,6.3027,0
1/23/2018,6.2688,6.2789,6.2187,6.2551,0
1/22/2018,6.2466,6.276,6.2364,6.2684,0
1/19/2018,6.2562,6.2859,6.2404,6.2474,0
1/18/2018,6.2319,6.2607,6.2069,6.2534,0
1/17/2018,6.2275,6.2735,6.2104,6.2307,0
1/16/2018,6.2304,6.2402,6.2084,6.2279,0
1/15/2018,6.1855,6.2431,6.1784,6.2314,0
1/12/2018,6.1727,6.1928,6.138,6.1894,0
1/11/2018,6.1352,6.1761,6.129,6.1732,0
1/10/2018,6.1182,6.1548,6.1049,6.1352,0
1/9/2018,6.1325,6.1521,6.1032,6.1187,0
1/8/2018,6.1371,6.157,6.1209,6.1322,0
1/5/2018,6.1463,6.1584,6.1262,6.1489,0
1/4/2018,6.1251,6.1504,6.1079,6.1472,0
1/3/2018,6.1193,6.1327,6.1001,6.1242,0
1/2/2018,6.0971,6.1319,6.0885,6.1191,0
1/1/2018,6.0964,6.1026,6.0933,6.0979,0
12/29/2017,6.0925,6.1173,6.0856,6.0956,0
12/28/2017,6.0661,6.1043,6.0635,6.0943,0
12/27/2017,6.0358,6.0772,6.0308,6.0672,0
12/26/2017,6.0298,6.0398,6.0225,6.0365,0
12/25/2017,6.0314,6.0442,6.0252,6.0321,0
12/22/2017,6.0224,6.0376,6.019,6.0326,0
12/21/2017,5.9987,6.0277,5.9865,6.022,0
12/20/2017,5.9883,6.0092,5.9809,5.9979,0
12/19/2017,5.99,6.0109,5.9774,5.9898,0
12/18/2017,5.9713,6.0024,5.9688,5.9898,0
12/15/2017,5.9844,6.0122,5.9673,5.9715,0
12/14/2017,5.9596,5.9969,5.9516,5.9854,0
12/13/2017,5.8999,5.9627,5.8941,5.9603,0
12/12/2017,5.8754,5.9192,5.8696,5.9011,0
12/11/2017,5.8632,5.89,5.8547,5.875,0
12/8/2017,5.8633,5.8815,5.8537,5.8582,0
12/7/2017,5.9105,5.9138,5.8572,5.8648,0
12/6/2017,5.944,5.9519,5.9042,5.9098,0
12/5/2017,5.9414,5.9844,5.9374,5.9456,0
12/4/2017,5.9443,5.9499,5.9207,5.9407,0
12/1/2017,5.9085,5.9668,5.895,5.945,0
11/30/2017,5.9119,5.932,5.8994,5.9097,0
11/29/2017,5.9271,5.9371,5.8968,5.9123,0
11/28/2017,5.931,5.9463,5.9196,5.9271,0
11/27/2017,5.9464,5.9641,5.924,5.9302,0
11/24/2017,5.9557,5.9637,5.9372,5.9457,0
11/23/2017,5.9499,5.9667,5.9369,5.9556,0
11/22/2017,5.9212,5.9561,5.9001,5.9507,0
11/21/2017,5.897,5.9285,5.8815,5.9197,0
11/20/2017,5.9048,5.9162,5.8915,5.8974,0
11/17/2017,5.926,5.9414,5.8857,5.9094,0
11/16/2017,5.9231,5.9413,5.9098,5.9257,0
11/15/2017,5.9538,5.9562,5.9105,5.9245,0
11/14/2017,5.9472,5.9704,5.9364,5.9546,0
11/13/2017,5.9723,5.984,5.9412,5.9459,0
11/10/2017,5.9891,6.0035,5.9706,5.9772,0
11/9/2017,5.9862,6.0003,5.964,5.9899,0
11/8/2017,5.9662,5.9935,5.9615,5.9866,0
11/7/2017,6.0005,6.0091,5.9505,5.9671,0
11/6/2017,5.9689,6.0023,5.9594,6.0007,0
11/3/2017,6.0173,6.0221,5.96,5.9696,0
11/2/2017,5.987,6.0312,5.9838,6.0174,0
11/1/2017,5.9734,6.0042,5.9646,5.9875,0
10/31/2017,5.9966,6.0057,5.9578,5.9733,0
10/30/2017,5.979,5.9993,5.9704,5.9958,0
10/27/2017,5.9781,5.9952,5.9503,5.9921,0
10/26/2017,6.0112,6.0226,5.9714,5.9775,0
10/25/2017,6.0686,6.0756,5.9994,6.0112,0
10/24/2017,6.09,6.1049,6.0633,6.0686,0
10/23/2017,6.0923,6.114,6.0819,6.0896,0
